,SHA,title,committer,date,commit additions,commit deletions,files changed,file sha,filename,file additions,file deletions,file changes
0,364f2a08e4300b148b05798065a4dcd364c6a407,Merge branch 'master' of github.com:FortyNorthSecurity/EyeWitness,Christopher Truncer,2021-07-26 14:05:05,32,0,1,7fbdd7b949477bb7c6eb2fcedceaa25f7f2cc41a,README.md,32,0,32
1,2d024e02674c6e3c7c618ef08d07afff18c710c7,Updated signatures,Christopher Truncer,2021-07-26 14:04:32,8,2,2,bc143e6f3b9a52b7a2e96a149e26f8a872f642ba,Python/categories.txt,4,1,5
2,2d024e02674c6e3c7c618ef08d07afff18c710c7,Updated signatures,Christopher Truncer,2021-07-26 14:04:32,8,2,2,953180f1a470eaaa76dd3f033d5b3d24533f5d56,Python/signatures.txt,4,1,5
3,49e26fce57ea25d34cd8182c1965a262a850b903,updated readme to include proxy instructions,Christopher Truncer,2021-06-14 22:54:27,32,0,1,7fbdd7b949477bb7c6eb2fcedceaa25f7f2cc41a,README.md,32,0,32
4,f82b73037db3d83c265016311d90d6121c45eeee,Updated signatures,Christopher Truncer,2021-06-14 19:23:45,20,2,2,4f3455416a212db819310eb13c6886ed2e7b4b11,Python/categories.txt,10,1,11
5,f82b73037db3d83c265016311d90d6121c45eeee,Updated signatures,Christopher Truncer,2021-06-14 19:23:45,20,2,2,2ed5e5dc793c685e81f6c9af829020b9e04abb85,Python/signatures.txt,10,1,11
6,be5618142468ec9f17747627bf9668946b16aa4b,Merge pull request #529 from digininja/master,Matt Grandy,2021-06-07 20:53:58,2,1,1,18c097b0eb91553a089d65d34e91ebbcee6519dd,Python/modules/reporting.py,2,1,3
7,be1f6ddd2d1ae624fb4da6f03d983e4698772254,show current page number,Robin,2021-06-07 16:38:51,2,1,1,18c097b0eb91553a089d65d34e91ebbcee6519dd,Python/modules/reporting.py,2,1,3
8,efff0f0dec2fb36b05be620715000cf7851f41ee,Debug file not needed,mattgrandy,2021-05-03 15:27:51,0,9,1,babaf5ba37ef7ac7c2f757dbaccd75e09796b07b,CS/EyeWitness/EyeWitness.csproj.user,0,9,9
9,f7a8ce6f18c870ec4c4c1ed670e6c4ed14aae481,"Added output option, prepend http(s), removed dupes, added pagination to top.",Matt Grandy,2021-05-03 15:22:08,125,31,7,25704737be702631aa571f36ee5ff36d0332f880,CS/EyeWitness.sln,8,2,10
10,f7a8ce6f18c870ec4c4c1ed670e6c4ed14aae481,"Added output option, prepend http(s), removed dupes, added pagination to top.",Matt Grandy,2021-05-03 15:22:08,125,31,7,792921472d6b200fee8ff212394620ae2e7280cd,CS/EyeWitness/EyeWitness.csproj,8,0,8
