,SHA,title,committer,date,commit additions,commit deletions,files changed,file sha,filename,file additions,file deletions,file changes
0,926526c838196a7497a85b6b8cf07657a88b69e6,[ci] move Solaris and valgrind test steps into scripts (#4503),James Lamb,2021-08-10 12:18:37,18,15,4,bf051476a0112a11b1c9696b304de60de0221f32,.ci/test_r_package_solaris.sh,13,0,13
1,926526c838196a7497a85b6b8cf07657a88b69e6,[ci] move Solaris and valgrind test steps into scripts (#4503),James Lamb,2021-08-10 12:18:37,18,15,4,2a6ce8dc7f9a25e64181486e48efdf1dadef2d22,.ci/test_r_package_valgrind.sh,4,0,4
2,926526c838196a7497a85b6b8cf07657a88b69e6,[ci] move Solaris and valgrind test steps into scripts (#4503),James Lamb,2021-08-10 12:18:37,18,15,4,ee1a581c23b5771e4128adfce3c8ca42306eefed,.github/workflows/r_solaris.yml,1,9,10
3,926526c838196a7497a85b6b8cf07657a88b69e6,[ci] move Solaris and valgrind test steps into scripts (#4503),James Lamb,2021-08-10 12:18:37,18,15,4,ff37c212a7eba295270b7c1df946c35d8e3750eb,.github/workflows/r_valgrind.yml,0,6,6
4,16aa010f080def899dec308d217006e5d54397d7,[docs] Update link to mlr3-compliant interface in README (#4509),Nikita Titov,2021-08-09 23:01:37,1,1,1,378167ac2ee87d9a72f4525eb823095016a75346,README.md,1,1,2
5,cfe8eb17c9f104a1681de85839f9fe6bd4d6692b,[tests][dask] reduce number of collisions tests (#4501),José Morales,2021-08-09 17:04:01,1,1,1,2f84933cfd37bf17ced153c8250b7b099b191491,tests/python_package_test/test_dask.py,1,1,2
6,2f3764265cc2c43ffaa250e89c1f2efc859404ae,[R-package] remove unused variable `R_SCRIPT` in configure.win (#4505),James Lamb,2021-08-09 12:28:31,0,1,1,61c093ad9f650a4897fe968240b426680b7d9738,R-package/configure.win,0,1,1
7,5fe27d594285eeaf31d2f1ebfe29453f8c6c6ad3,[dask] find all needed ports in each host at once (fixes #4458) (#4498),José Morales,2021-08-03 22:24:10,89,95,2,dc79b1ac74a3ac376684f97d1ad760052bbae5a3,python-package/lightgbm/dask.py,65,58,123
8,5fe27d594285eeaf31d2f1ebfe29453f8c6c6ad3,[dask] find all needed ports in each host at once (fixes #4458) (#4498),José Morales,2021-08-03 22:24:10,89,95,2,cbb80467a92f890577a0a2584aecf48d7806b054,tests/python_package_test/test_dask.py,24,37,61
9,1dbf4382fd7d8cd6ce92b53c3b84aa479aabfc19,Update c_api LGBM_SampleIndices() comment. (#4490),Chen Yufei,2021-08-03 20:33:42,3,2,2,aaf35fe1c12e8ac4a44438e7d2186788e46e25f4,include/LightGBM/c_api.h,1,1,2
