,SHA,title,committer,commit additions,commit deletions,files changed,file sha,filename,file additions,file deletions,file changes,date
0,6ec36068ee450df33c0038fb0cdc575b21510acd,remove redundant function; get category_id according to label_to_cat_id_map (#3282),will-jl944,1,25,1,94b3c827fbf22d1a7c4cad07bcc2ececf90e4392,ppdet/metrics/json_results.py,1,25,26,2021-06-04 12:21:05
1,c987dc1e543f1e489a32b165d7078b591d2ca363,Update GETTING_STARTED_cn.md (#3215),thomas-yanxin,1,1,1,129e5ab838e230c636cfb9ce86007311b360377e,docs/tutorials/GETTING_STARTED_cn.md,1,1,2,2021-06-03 08:45:42
2,df6ce20c25a4c5319039b2beb5a5f7973ff580af,[cherry pick]add doc (#3152),yzl19940819,22,0,3,85a56236942e53ff7441716bcfa0e09bfc7d85a7,README_cn.md,2,0,2,2021-06-02 13:19:42
3,df6ce20c25a4c5319039b2beb5a5f7973ff580af,[cherry pick]add doc (#3152),yzl19940819,22,0,3,24e675b377e384d12f203ad9292540894529712e,docs/tutorials/FAQ.md,14,0,14,2021-06-02 13:19:42
4,df6ce20c25a4c5319039b2beb5a5f7973ff580af,[cherry pick]add doc (#3152),yzl19940819,22,0,3,b22f054caa78848e0aa9b7b78a4b528190365270,docs/tutorials/GETTING_STARTED_cn.md,6,0,6,2021-06-02 13:19:42
5,66d7eefab9aca8243ddf49a52b748b786b80ffb5,"[cherry-pick][MOT]update mot doc, mot.yml (#3231)",George Ni,63,37,8,e26919566028e0ff511c2e43400aee69cf8418d5,configs/datasets/mot.yml,18,13,31,2021-06-01 10:39:31
6,66d7eefab9aca8243ddf49a52b748b786b80ffb5,"[cherry-pick][MOT]update mot doc, mot.yml (#3231)",George Ni,63,37,8,3328d8c77c5a7de7cb4559a54531db62e12bf669,configs/mot/README.md,7,7,14,2021-06-01 10:39:31
7,66d7eefab9aca8243ddf49a52b748b786b80ffb5,"[cherry-pick][MOT]update mot doc, mot.yml (#3231)",George Ni,63,37,8,dda88d121da93dee392a8f3d18e540135eb22854,configs/mot/README_cn.md,7,7,14,2021-06-01 10:39:31
8,66d7eefab9aca8243ddf49a52b748b786b80ffb5,"[cherry-pick][MOT]update mot doc, mot.yml (#3231)",George Ni,63,37,8,0a8d5b9ede884e893a0500910d9a9b65d08412cd,configs/mot/deepsort/README.md,1,1,2,2021-06-01 10:39:31
9,66d7eefab9aca8243ddf49a52b748b786b80ffb5,"[cherry-pick][MOT]update mot doc, mot.yml (#3231)",George Ni,63,37,8,d23c1fe41c2d81a25a6e8b505e426074a7a2b1c1,configs/mot/deepsort/README_cn.md,1,1,2,2021-06-01 10:39:31
10,66d7eefab9aca8243ddf49a52b748b786b80ffb5,"[cherry-pick][MOT]update mot doc, mot.yml (#3231)",George Ni,63,37,8,b3729192bd62ecefcc9e4a21ad6101bb4a932ad1,configs/mot/fairmot/README_cn.md,5,5,10,2021-06-01 10:39:31
11,66d7eefab9aca8243ddf49a52b748b786b80ffb5,"[cherry-pick][MOT]update mot doc, mot.yml (#3231)",George Ni,63,37,8,229237261fb0d01f2ae4a6246f64b23fc7e015af,configs/mot/jde/README.md,13,2,15,2021-06-01 10:39:31
12,66d7eefab9aca8243ddf49a52b748b786b80ffb5,"[cherry-pick][MOT]update mot doc, mot.yml (#3231)",George Ni,63,37,8,a60ccf9268c0c301fd328e861ee2a5a768602d5c,configs/mot/jde/README_cn.md,11,1,12,2021-06-01 10:39:31
13,65be32f674eddf14aa77fae4603d6808f5fac0d8,"fix doc, change image_path to image_file, test=document_fix (#3229)",cnn,3,3,3,43dae340df172f7491e5cc31dadb8f7d6c3f8fd6,deploy/cpp/docs/Jetson_build.md,1,1,2,2021-06-01 06:14:49
14,65be32f674eddf14aa77fae4603d6808f5fac0d8,"fix doc, change image_path to image_file, test=document_fix (#3229)",cnn,3,3,3,5631e8a27b20cec9e280c651fb0cfbe15c0ce504,deploy/cpp/docs/linux_build.md,1,1,2,2021-06-01 06:14:49
15,65be32f674eddf14aa77fae4603d6808f5fac0d8,"fix doc, change image_path to image_file, test=document_fix (#3229)",cnn,3,3,3,6a9f1f9d9806c0fde15c8aa472100dd30e55e967,deploy/cpp/docs/windows_vs2019_build.md,1,1,2,2021-06-01 06:14:49
16,52006a4b92639fa2df1f3e894d4d71fe0bf650e0,"add mot16test doc, test=document_fix (#3222)",George Ni,255,92,8,28e62f1fb804473458c83feed53716fd21c165ea,configs/mot/README.md,61,22,83,2021-06-01 02:32:37
17,52006a4b92639fa2df1f3e894d4d71fe0bf650e0,"add mot16test doc, test=document_fix (#3222)",George Ni,255,92,8,36da8c33c29b71be840a225ee1ef7f363c99bb22,configs/mot/README_cn.md,60,22,82,2021-06-01 02:32:37
