,SHA,title,committer,date,commit additions,commit deletions,files changed,file sha,filename,file additions,file deletions,file changes
0,e7e78201bffe9609915e5e53cfafa29a5d6c49f9,Merge pull request #1195 from dannyvankooten/develop,Gion Kunz,2019-11-01 21:04:36,1,1,1,ba1f84a26c34aeb42a87f76dd4cc4d03976e1e4d,src/scripts/charts/bar.js,1,1,2
1,6288745b3b6c5e8e23610c6d9cd27dc506d10b10,only calculate high low from stacked values if stackMode is set to accumulate,Danny van Kooten,2019-10-28 14:45:15,1,1,1,ba1f84a26c34aeb42a87f76dd4cc4d03976e1e4d,src/scripts/charts/bar.js,1,1,2
2,de6345e2e4a7266b015a60a0e41c22a5f2ce782d,Update FUNDING.yml,Gion Kunz,2019-10-25 11:11:51,1,1,1,041fac64f1bea8a9f41bd2c6ee9da1b728818b7c,.github/FUNDING.yml,1,1,2
3,682ff28543a0713ad41d1e7cef6b860e9d2c2f4c,Create FUNDING.yml,Gion Kunz,2019-10-25 11:10:39,3,0,1,a97f7984b96fc1df9703fb773a527099f3b61500,.github/FUNDING.yml,3,0,3
4,c55b2c129c3fc4e447bbea2f3bbe2b3246fd9eb9,Version bump,Gion Kunz,2019-09-11 19:39:07,11023,22,6,68536a707630f1d811df0eccc608536c54462d41,dist/chartist.js,16,16,32
5,c55b2c129c3fc4e447bbea2f3bbe2b3246fd9eb9,Version bump,Gion Kunz,2019-09-11 19:39:07,11023,22,6,3a070749b3fbf9090e9d691635fa3e09ba4289fe,dist/chartist.min.css,1,1,2
6,c55b2c129c3fc4e447bbea2f3bbe2b3246fd9eb9,Version bump,Gion Kunz,2019-09-11 19:39:07,11023,22,6,d58d379b5233f85463abd37527d6838e2dd6a0bd,dist/chartist.min.js,3,3,6
7,c55b2c129c3fc4e447bbea2f3bbe2b3246fd9eb9,Version bump,Gion Kunz,2019-09-11 19:39:07,11023,22,6,86b7c443c4c5f10959b661f9ecfac9115d62a16b,dist/chartist.min.js.map,1,1,2
8,c55b2c129c3fc4e447bbea2f3bbe2b3246fd9eb9,Version bump,Gion Kunz,2019-09-11 19:39:07,11023,22,6,3c44eb3fa6426290f92ac8c573c4cd73b84ff139,package-lock.json,11001,0,11001
9,c55b2c129c3fc4e447bbea2f3bbe2b3246fd9eb9,Version bump,Gion Kunz,2019-09-11 19:39:07,11023,22,6,cf2fb033192b21906db47f3b32359cbab84d88dc,package.json,1,1,2
