,SHA,title,committer,date,commit additions,commit deletions,files changed,file sha,filename,file additions,file deletions,file changes
0,e3fa6f3637fa6d8ea97ef66ac1957950632b72ab,Rebuild asssets,Max Huang,2020-05-19 10:48:19,128,106,14,288381b5da034c481328b22f9bb73f40df3bc45a,bower.json,1,1,2
1,e3fa6f3637fa6d8ea97ef66ac1957950632b72ab,Rebuild asssets,Max Huang,2020-05-19 10:48:19,128,106,14,009a2f75c74f4721fc9134a94325c7718b326538,dist/cleave-angular.js,22,20,42
2,e3fa6f3637fa6d8ea97ef66ac1957950632b72ab,Rebuild asssets,Max Huang,2020-05-19 10:48:19,128,106,14,3f29da9311ef92615bf7b358015c35003f9fd60e,dist/cleave-angular.min.js,2,2,4
3,e3fa6f3637fa6d8ea97ef66ac1957950632b72ab,Rebuild asssets,Max Huang,2020-05-19 10:48:19,128,106,14,2117e7e467df7924bed7b4560afb76b47860cd46,dist/cleave-esm.js,23,21,44
4,e3fa6f3637fa6d8ea97ef66ac1957950632b72ab,Rebuild asssets,Max Huang,2020-05-19 10:48:19,128,106,14,d6e0de7c33b05cdb15cc6449bae8835fe4f8b08a,dist/cleave-esm.min.js,1,1,2
5,e3fa6f3637fa6d8ea97ef66ac1957950632b72ab,Rebuild asssets,Max Huang,2020-05-19 10:48:19,128,106,14,d13e7b6f31a6f092c828079df32e227c098d8e94,dist/cleave-react-node.js,19,16,35
6,e3fa6f3637fa6d8ea97ef66ac1957950632b72ab,Rebuild asssets,Max Huang,2020-05-19 10:48:19,128,106,14,01656c5ce067cdadc8599defc7f77a3b205f3b91,dist/cleave-react-node.min.js,2,2,4
7,e3fa6f3637fa6d8ea97ef66ac1957950632b72ab,Rebuild asssets,Max Huang,2020-05-19 10:48:19,128,106,14,40862c9f19b813d6d87c1c0385bd12d1199b23cc,dist/cleave-react.js,19,16,35
8,e3fa6f3637fa6d8ea97ef66ac1957950632b72ab,Rebuild asssets,Max Huang,2020-05-19 10:48:19,128,106,14,3101f644ad608a3eafce97f60f6b3da6a461c55b,dist/cleave-react.min.js,3,3,6
9,e3fa6f3637fa6d8ea97ef66ac1957950632b72ab,Rebuild asssets,Max Huang,2020-05-19 10:48:19,128,106,14,a9a65852a3509a48f1821b8de3fb711d65458ae8,dist/cleave.js,22,20,42
10,e3fa6f3637fa6d8ea97ef66ac1957950632b72ab,Rebuild asssets,Max Huang,2020-05-19 10:48:19,128,106,14,e43189a11579ac46a794a99c24354eb644469e3d,dist/cleave.min.js,2,2,4
