,SHA,title,committer,commit additions,commit deletions,files changed,file sha,filename,file additions,file deletions,file changes,date
0,e0bcdc72ae8e0b85e17f154957bdd0cc2e2e35db,Slack link fixes,Nicolás Bevacqua,13,11,5,d55b5272e5eb5826909f26ab6b2199093305fffa,.github/contributing.markdown,3,2,5,2020-09-29 16:21:52
1,e0bcdc72ae8e0b85e17f154957bdd0cc2e2e35db,Slack link fixes,Nicolás Bevacqua,13,11,5,d73d536d7e864a0a0b25d1a399f31dea5c87ac14,.github/issue_template.markdown,1,1,2,2020-09-29 16:21:52
2,e0bcdc72ae8e0b85e17f154957bdd0cc2e2e35db,Slack link fixes,Nicolás Bevacqua,13,11,5,ace04028c366e171046c7e9e740d86fc88513df7,example/example.css,0,5,5,2020-09-29 16:21:52
3,e0bcdc72ae8e0b85e17f154957bdd0cc2e2e35db,Slack link fixes,Nicolás Bevacqua,13,11,5,f54b491028172173c122184e0787c0a7ddc212e8,index.html,6,1,7,2020-09-29 16:21:52
4,e0bcdc72ae8e0b85e17f154957bdd0cc2e2e35db,Slack link fixes,Nicolás Bevacqua,13,11,5,4fe33e63cfc6bca09b7185a128c8d3de77dd210d,readme.markdown,3,2,5,2020-09-29 16:21:52
5,495664213ed81d17598bd7e5afa09116ae2bb26e,bower not a thing,Nicolás Bevacqua,0,1,1,5d9f984e2226420efc3c840b5a2abb80dd5c434f,.jshintignore,0,1,1,2020-09-29 15:20:35
6,e2df38f079270d039fb9d7a2f75301b8fd4fd6d0,"with bower gone, make a git tag via npm",Nicolás Bevacqua,1,1,1,5db6393e5b866f4c78002ee25a420c468ca86219,package.json,1,1,2,2020-09-29 15:20:09
7,978fa144f19b41eb710c0e5bcab03b12874ad629,setup yarn.lock,Nicolás Bevacqua,5131,0,1,3eb307f4ff98db52557ea843d9e2ddfd3af9d531,yarn.lock,5131,0,5131,2020-09-29 15:16:10
8,1437a6ad2b7b46aaa7be01b33705a833e7957ad9,Update changelog.markdown,Dario Cantatore,1,1,1,ed25c1d95e73ae375eecc198300f62435d6b135e,changelog.markdown,1,1,2,2020-09-29 15:16:03
9,9a3dc849e73c7ddb92f01540ca0575f63160679e,Merge branch 'master' of https://github.com/bevacqua/dragula,Dario Cantatore,12,0,1,c020bca0e4963ad48a780d7c3d3458301dade5ee,.github/FUNDING.yml,12,0,12,2020-09-29 15:15:28
10,7f8311aba6165fe602884d59f4a41d0ac570bbc8,Release,Dario Cantatore,9,20,3,dfa9a884d967e797cc8b366565cebfad5ad7fd1a,bower.json,0,15,15,2020-09-29 15:15:08
11,7f8311aba6165fe602884d59f4a41d0ac570bbc8,Release,Dario Cantatore,9,20,3,d5cdb94cd2d31119905517a46e22028c060b40ef,changelog.markdown,7,0,7,2020-09-29 15:15:08
12,7f8311aba6165fe602884d59f4a41d0ac570bbc8,Release,Dario Cantatore,9,20,3,73bfb953057b5f23f2ee8edb9055c21a8fb263a0,package.json,2,5,7,2020-09-29 15:15:08
13,2feac15c264e712f77828eaede3c786bec4179ae,setup patreon button,Nicolás Bevacqua,12,0,1,c020bca0e4963ad48a780d7c3d3458301dade5ee,.github/FUNDING.yml,12,0,12,2020-09-29 14:54:10
14,63d25edf1f7966c152e9b385911dad482f5e7505,Merge branch 'package-updates',Dario Cantatore,325,54,8,890e219fb1922ca221cac1132903b18c5bd3fef8,.gitignore,1,0,1,2020-09-29 14:13:28
15,63d25edf1f7966c152e9b385911dad482f5e7505,Merge branch 'package-updates',Dario Cantatore,325,54,8,77836d8b915620d69133076ff7ebd0eb56bedfff,.travis.yml,1,1,2,2020-09-29 14:13:28
16,63d25edf1f7966c152e9b385911dad482f5e7505,Merge branch 'package-updates',Dario Cantatore,325,54,8,c5b550cc33b4ccf501f221511e0d28177f1aa94e,dist/dragula.js,290,17,307,2020-09-29 14:13:28
17,63d25edf1f7966c152e9b385911dad482f5e7505,Merge branch 'package-updates',Dario Cantatore,325,54,8,a080100e8b6263c5fdf88c0b5f245b42a9ac2dba,dist/dragula.min.css,1,1,2,2020-09-29 14:13:28
18,63d25edf1f7966c152e9b385911dad482f5e7505,Merge branch 'package-updates',Dario Cantatore,325,54,8,dd61cd87c753ebfaf3715f70dcee31f11ed65091,dist/dragula.min.js,1,1,2,2020-09-29 14:13:28
19,63d25edf1f7966c152e9b385911dad482f5e7505,Merge branch 'package-updates',Dario Cantatore,325,54,8,7c19fc63f9acd891c88254354da930972989ee82,dragula.js,15,12,27,2020-09-29 14:13:28
20,63d25edf1f7966c152e9b385911dad482f5e7505,Merge branch 'package-updates',Dario Cantatore,325,54,8,64b927d14c596209b83a3020e4eb7c765e3c9714,package.json,13,15,28,2020-09-29 14:13:28
21,63d25edf1f7966c152e9b385911dad482f5e7505,Merge branch 'package-updates',Dario Cantatore,325,54,8,15af8edcdb18cf8e7fd57d0ed5fa696ba5316c61,readme.markdown,3,7,10,2020-09-29 14:13:28
