,SHA,title,committer,date,commit additions,commit deletions,files changed,file sha,filename,file additions,file deletions,file changes
0,81f25c8b45266383ab1d0956c22cf58b5af44a3f,Merge pull request #1936 from google/dependabot/maven/org.apache.maven.scm-maven-scm-provider-gitexe-1.11.3,Éamonn McManus,2021-08-12 18:47:47,1,1,1,c6bb4276c46aee33811d96a3b7a50460f013b965,pom.xml,1,1,2
1,a7404e8ede4ca910dac2dd5f5643d30fbea75ca3,Merge pull request #1935 from google/dependabot/maven/org.apache.maven.scm-maven-scm-api-1.11.3,Éamonn McManus,2021-08-12 18:47:28,1,1,1,e75ff2a71dd66938e3c1ba5a063220a3e0a54339,pom.xml,1,1,2
2,205df01c047ecc03cf217f17e2030852a4ac96be,Bump maven-scm-provider-gitexe from 1.11.2 to 1.11.3,dependabot[bot],2021-08-12 03:04:06,1,1,1,0860d72f0ca4a230fd68c45c045a3cc54fb1f267,pom.xml,1,1,2
3,f98dabd1e966c97aa88ee74d587eb1ea810e39b3,Bump maven-scm-api from 1.11.2 to 1.11.3,dependabot[bot],2021-08-12 03:04:02,1,1,1,e75ff2a71dd66938e3c1ba5a063220a3e0a54339,pom.xml,1,1,2
4,9edaeb3b2e8824ba79afac1cdc9aa2c42c0bec2a,Merge pull request #1909 from HiFromAjay/aj,Éamonn McManus,2021-08-07 14:54:12,65,2,1,3975ce2c84c11b156201d0f99829ca027fa632d3,gson/src/test/java/com/google/gson/JsonArrayTest.java,65,2,67
5,01ab13f701e6db84bdf37f602ef7af3c8d5c2f35,"Remove unused imports [#1909, #1908]",HiFromAjay,2021-08-05 23:23:28,1,5,1,3975ce2c84c11b156201d0f99829ca027fa632d3,gson/src/test/java/com/google/gson/JsonArrayTest.java,1,5,6
6,789818d1802ec10feeeceddc7571e069ae762b19,Merge pull request #1930 from christofferqa/keep_typetoken,Éamonn McManus,2021-08-05 13:40:02,4,0,1,95f31ec6d631d645aace5717a49f7a39a97a8bca,examples/android-proguard-example/proguard.cfg,4,0,4
7,df94ccdb483c788eaa65509c12f0f6cbc952dac8,Merge pull request #1925 from google/dependabot/maven/org.apache.maven.plugins-maven-resources-plugin-3.2.0,Éamonn McManus,2021-08-05 13:28:52,1,1,1,99ff049d031a9f3bcfe6e169e4f4da1462829f24,gson/pom.xml,1,1,2
8,80feb232b5be12db9dd0f75d9dc63629fb5456e2,Merge pull request #1926 from google/dependabot/maven/com.github.wvengen-proguard-maven-plugin-2.4.0,Éamonn McManus,2021-08-05 13:28:12,1,1,1,21ffc447d60d315f425d175e02be3947eb78024f,gson/pom.xml,1,1,2
9,89f0baeead5ff39bf62f74ee8264a1c940ed96bb,Merge pull request #1927 from google/dependabot/maven/com.coderplus.maven.plugins-copy-rename-maven-plugin-1.0.1,Éamonn McManus,2021-08-05 13:27:55,1,1,1,ddd0117009d2c11702075113a9de27bccd195407,gson/pom.xml,1,1,2
10,d3a75cb56937d687a66c8710e40c2da6223db0c3,Retain generic signature of TypeToken with R8 version 3.0 and higher,Christoffer Quist Adamsen,2021-08-05 07:18:32,4,0,1,95f31ec6d631d645aace5717a49f7a39a97a8bca,examples/android-proguard-example/proguard.cfg,4,0,4
