,SHA,title,committer,date,commit additions,commit deletions,files changed,file sha,filename,file additions,file deletions,file changes
0,82eaf4ae56547449523fc3e8e30bb82769122b6f,Fix typo and fix return value written in docstrings (#903),ryo.a,2021-08-09 11:52:16,2,2,1,38d16bcd10e2310f387657367bbfe65b6570d346,gspread/utils.py,2,2,4
1,106c7c3bb533239795961d034912575f3c582328,Fix a typo in HISTORY.rst (#904),Jay Turner,2021-08-09 11:45:35,1,1,1,3e782bf4714773efc52791f1d1e45e8f5336915b,HISTORY.rst,1,1,2
2,0181ca8f456894a9cc86ccf3616b88a0579e4dda,Merge pull request #902 from burnash/bugfix/keep_comma_in_str_when_numericise,Lavigne958,2021-08-07 08:45:10,5,3,1,524abdda682ed2224ada18174e90ca9f69a7202f,gspread/utils.py,5,3,8
3,2d33fd7cd19c1215d0b874fc378d0cec820e7043,Bugfix - in numericise do to overwirte original value,Alexandre Lavigne,2021-08-06 17:55:32,5,3,1,524abdda682ed2224ada18174e90ca9f69a7202f,gspread/utils.py,5,3,8
4,7046b5d1f1e9fec0846582cd7bb645182722b24a,Release version v4.0.0,Alexandre Lavigne,2021-08-01 18:50:36,53,2,3,8704b52aa7aa1782fafa6f849b2d1313869b8c20,HISTORY.rst,51,0,51
5,7046b5d1f1e9fec0846582cd7bb645182722b24a,Release version v4.0.0,Alexandre Lavigne,2021-08-01 18:50:36,53,2,3,3fad142a133e1cbca1bf6f57ad543d1cf11c0296,gspread/__init__.py,1,1,2
6,7046b5d1f1e9fec0846582cd7bb645182722b24a,Release version v4.0.0,Alexandre Lavigne,2021-08-01 18:50:36,53,2,3,21922c05ce4cc2369bea6a73979b429784dd5cf8,setup.py,1,1,2
7,2350747b6e22ce430e62c8e381893386f4348d1a,Merge pull request #899 from burnash/improvement/find_method_return_none,Lavigne958,2021-07-26 16:14:54,6,1,3,43a785dbc0e04eba3867103802cafbd33652d102,docs/user-guide.rst,1,0,1
8,2350747b6e22ce430e62c8e381893386f4348d1a,Merge pull request #899 from burnash/improvement/find_method_return_none,Lavigne958,2021-07-26 16:14:54,6,1,3,704d16d6e3f3826aeeeb1059678822fd907713bb,gspread/models.py,2,1,3
9,2350747b6e22ce430e62c8e381893386f4348d1a,Merge pull request #899 from burnash/improvement/find_method_return_none,Lavigne958,2021-07-26 16:14:54,6,1,3,7a8a2492b9ec33a83b54875def967f9a641bc885,tests/test.py,3,0,3
