,SHA,title,committer,date,commit additions,commit deletions,files changed,file sha,filename,file additions,file deletions,file changes
0,ff687ea0daa3c806b9accd2ecb1a46165ea3c00a,Merge pull request #1179 from leelabysani/BuildConfigChanges,Chris Thoburn,2019-05-28 17:49:24,20,8,2,ae4b6e76481a60a1afe3078df621a8c10a0e3ee1,package.json,8,6,14
1,ff687ea0daa3c806b9accd2ecb1a46165ea3c00a,Merge pull request #1179 from leelabysani/BuildConfigChanges,Chris Thoburn,2019-05-28 17:49:24,20,8,2,9bd07a7c0d0f782e89d336ba8c4f76ffeb71fae2,src/.babelrc,12,2,14
2,6ae5058edece924edabadc4f5c305b6c51f82ae1,Merge pull request #1217 from jDramaix/patch-1,Chris Thoburn,2019-05-28 17:48:45,2,2,1,5ea778100bfc613d848b103c60b556577b34b9f4,hammer.js,2,2,4
3,4f7a85eaed6f0e8a77d64997499c3b7c6e55fd62,Fix jsdoc annotation of inArray method.,Julien Dramaix,2019-05-10 22:20:22,2,2,1,5ea778100bfc613d848b103c60b556577b34b9f4,hammer.js,2,2,4
4,969004e677e3a3e328a11c04d6484b16e5d9d956,Making changes in package.json and .babelrc to successfully build it,leelabysani,2018-06-07 10:25:37,20,8,2,ae4b6e76481a60a1afe3078df621a8c10a0e3ee1,package.json,8,6,14
5,969004e677e3a3e328a11c04d6484b16e5d9d956,Making changes in package.json and .babelrc to successfully build it,leelabysani,2018-06-07 10:25:37,20,8,2,9bd07a7c0d0f782e89d336ba8c4f76ffeb71fae2,src/.babelrc,12,2,14
6,563b5b1e4bfbb5796798dd286cd57b7c56f1eb9e,Merge pull request #1147 from choskim/readme,Jorik Tangelder,2017-10-21 17:16:04,99,30,1,7ab2035f89e2b8a32de07424a9f4aa9953e5972e,README.md,99,30,129
7,4ada7bce58cc01fff5386e4455b8ea3c1ea73669,Update README.md,Cho S. Kim,2017-10-14 05:00:17,99,30,1,7ab2035f89e2b8a32de07424a9f4aa9953e5972e,README.md,99,30,129
8,37206a3d2209aefa5a34e59dfa3800a3150011a3,Update LICENSE.md,Jorik Tangelder,2017-04-19 14:18:30,1,1,1,ddaf0238d7e404b679a9da85fde0f075e0b267be,LICENSE.md,1,1,2
9,17a543b6ac47540a43dff455a362efa959b65026,Merge pull request #1013 from anotheredward/patch-1,Chris Thoburn,2016-10-19 12:37:27,1,0,1,30584af1f7bff8a4b7ea588cbb06d7e5b106ac86,bower.json,1,0,1
