,SHA,title,committer,commit additions,commit deletions,files changed,file sha,filename,file additions,file deletions,file changes,date
0,482f846203e82b1c2620f580e483bf41d11f9f49,Tests: Switch background image from online file to local 1x1.jpg,Timo Tijhof,9,19,2,b5baaa7ad0a1b5f3754fa5fcb0245b4c7363d278,test/data/testsuite.css,1,1,2,2021-05-24 16:23:50
1,482f846203e82b1c2620f580e483bf41d11f9f49,Tests: Switch background image from online file to local 1x1.jpg,Timo Tijhof,9,19,2,8ade482ffa29182616e290fd6d8b2bf3d6fda4e0,test/unit/css.js,8,18,26,2021-05-24 16:23:50
2,e539bac79e666bba95bba86d690b4e609dca2286,Event: Don't break focus triggering after `.on(focus).off(focus)`,Michał Gołębiowski-Owczarek,20,4,2,4b6eb00e4fde107fcba89a1883c95bd81f3fffd8,src/event.js,4,4,8,2021-05-10 16:59:14
3,e539bac79e666bba95bba86d690b4e609dca2286,Event: Don't break focus triggering after `.on(focus).off(focus)`,Michał Gołębiowski-Owczarek,20,4,2,1f76c54b9d08400af2a1e18200088b45819cabdb,test/unit/event.js,16,0,16,2021-05-10 16:59:14
4,a70274632dc19ff4a64d7bb7657a2cc647ff38b9,Tests: Strip untypical callback parameter characters from mock.php,Michał Gołębiowski-Owczarek,24,13,2,2e90de6d3720de94a59942e305c4bc345fca53bd,test/data/mock.php,14,8,22,2021-04-13 20:13:48
5,a70274632dc19ff4a64d7bb7657a2cc647ff38b9,Tests: Strip untypical callback parameter characters from mock.php,Michał Gołębiowski-Owczarek,24,13,2,04b01d652ca28247279e0aac3f2ab924bbcd8462,test/middleware-mockserver.js,10,5,15,2021-04-13 20:13:48
6,50e8e84621ff7a314fca253ce73f0519322d8a4d,Tests: Make more tests run natively in Chrome & Firefox,Michał Gołębiowski-Owczarek,9,9,1,41d9d0f70a41b899b213ab59f3ab21d6505b45b5,test/unit/selector.js,9,9,18,2021-04-13 20:11:45
7,345cd22e5664655ed315958ed2056610607c12ef,Build: Take core-js-bundle from the external directory as well,Michał Gołębiowski-Owczarek,4,1,2,fc35a843a49f66952f204a901e31cd64097a0096,Gruntfile.js,3,0,3,2021-04-13 20:10:09
8,345cd22e5664655ed315958ed2056610607c12ef,Build: Take core-js-bundle from the external directory as well,Michał Gołębiowski-Owczarek,4,1,2,0a7362974646842ba47e0f23308281e64b427988,test/data/core/jquery-iterability-transpiled.html,1,1,2,2021-04-13 20:10:09
9,a684e6ba836f7c553968d7d026ed7941e1a612d8,Build: Restore the external directory,Michał Gołębiowski-Owczarek,34,11,7,e1d456ddfdb5a6620fdd3c8fed65fe71a73c7e74,.eslintignore,1,0,1,2021-03-24 22:36:25
10,a684e6ba836f7c553968d7d026ed7941e1a612d8,Build: Restore the external directory,Michał Gołębiowski-Owczarek,34,11,7,9cc148904e624582c0c67908c05f1b06336fc881,.gitignore,1,1,2,2021-03-24 22:36:25
11,a684e6ba836f7c553968d7d026ed7941e1a612d8,Build: Restore the external directory,Michał Gołębiowski-Owczarek,34,11,7,58ba3ab2bf3cdc8d9e2cc27e1c7fd774a359b197,.npmignore,1,0,1,2021-03-24 22:36:25
12,a684e6ba836f7c553968d7d026ed7941e1a612d8,Build: Restore the external directory,Michał Gołębiowski-Owczarek,34,11,7,4afbec9212cc1cd5bd82738ae01eae55b4ab6f4d,Gruntfile.js,24,4,28,2021-03-24 22:36:25
13,a684e6ba836f7c553968d7d026ed7941e1a612d8,Build: Restore the external directory,Michał Gołębiowski-Owczarek,34,11,7,092067e247d453758dc9fe3df088792f8db56da4,package.json,1,0,1,2021-03-24 22:36:25
14,a684e6ba836f7c553968d7d026ed7941e1a612d8,Build: Restore the external directory,Michał Gołębiowski-Owczarek,34,11,7,b3c64aedee2ac51e314a0d4a267f88f265311128,test/index.html,5,5,10,2021-03-24 22:36:25
15,a684e6ba836f7c553968d7d026ed7941e1a612d8,Build: Restore the external directory,Michał Gołębiowski-Owczarek,34,11,7,9eb6c9885eb7d3d1f080e323f110b0b4c5333a14,test/karma.debug.html,1,1,2,2021-03-24 22:36:25
16,b2bbaa36d4d37bd48f954ed3cdbd50d3461a523d,Release: remove the need to install grunt globally,Timmy Willison,3,3,1,e7399c968aea277188be84b80091505fe423faa3,build/release.js,3,3,6,2021-03-01 22:48:55
17,967af73203378db0cc3637adee85c442e246e05a,Release: upgrade release dependencies,Timmy Willison,3,4,1,0fea98711d7b464e1a4b12e79dd7481238a70cbd,build/release.js,3,4,7,2021-03-01 21:48:41
18,09f254361f1fe8a563b8a90fe6a4d269f4b11514,Support: ensure display is set to block for the support div,Timmy Willison,9,0,1,48f95dc3665b72dc5ef3212c7f695bcfab4c6766,src/css/support.js,9,0,9,2021-02-17 21:19:04
19,8ae477a432f0924cd4bd3bdeaef2c4c15e483a8f,Build: Rename master to main across the repository,Michał Gołębiowski-Owczarek,13,13,5,97ab4f66a9ea2976fec1a962ef7aa8d0d853d84b,CONTRIBUTING.md,3,3,6,2021-02-05 21:00:56
20,8ae477a432f0924cd4bd3bdeaef2c4c15e483a8f,Build: Rename master to main across the repository,Michał Gołębiowski-Owczarek,13,13,5,8dd3b55b15568d5a971a8e75edf4b6e3955811a6,README.md,2,2,4,2021-02-05 21:00:56
21,8ae477a432f0924cd4bd3bdeaef2c4c15e483a8f,Build: Rename master to main across the repository,Michał Gołębiowski-Owczarek,13,13,5,ea7c64b8ab64b235826db97d5fc9dfb67b989a1b,build/release/dist.js,4,4,8,2021-02-05 21:00:56
22,8ae477a432f0924cd4bd3bdeaef2c4c15e483a8f,Build: Rename master to main across the repository,Michał Gołębiowski-Owczarek,13,13,5,eeac68c93ec08151e92785e2e1ab0939fa9cf3cd,package.json,1,1,2,2021-02-05 21:00:56
23,8ae477a432f0924cd4bd3bdeaef2c4c15e483a8f,Build: Rename master to main across the repository,Michał Gołębiowski-Owczarek,13,13,5,82360c874b42b3e8775a0659051ec55bf9656860,test/unit/offset.js,3,3,6,2021-02-05 21:00:56
24,025da4dd343e6734f3d3c1b4785b1548498115d8,Ajax: Don't auto-execute scripts unless dataType provided,Michał Gołębiowski-Owczarek,25,59,2,fee8a66e0de9240331019d18fae6bdb4a62538a8,src/ajax/script.js,2,11,13,2021-01-26 14:58:29
25,025da4dd343e6734f3d3c1b4785b1548498115d8,Ajax: Don't auto-execute scripts unless dataType provided,Michał Gołębiowski-Owczarek,25,59,2,4ab17e8eb56359c566a25a2ed4c6f0da4c033edf,test/unit/ajax.js,23,48,71,2021-01-26 14:58:29
26,a32cf6324f8f2190e66a687e94be9687ebf840b7,Deferred: Rename master to primary,Michał Gołębiowski-Owczarek,8,8,1,dc42947265dd75b6c69f2224c6d602ad792434e5,src/deferred.js,8,8,16,2021-01-12 19:56:51
27,d38528b17a846b7ca4513b41150a05436546292d,Tests: Fix tests for not auto-executing scripts without dataType,Michał Gołębiowski-Owczarek,2,2,2,165d33187f82c5d18c4773608705df295d09160e,test/middleware-mockserver.js,1,1,2,2021-01-11 17:20:36
28,d38528b17a846b7ca4513b41150a05436546292d,Tests: Fix tests for not auto-executing scripts without dataType,Michał Gołębiowski-Owczarek,2,2,2,271496ce1e08fb1de7cfa7d2f25943be5789ed77,test/unit/ajax.js,1,1,2,2021-01-11 17:20:36
29,3bbbc11111840d6fd5160db13f2c1a9acb05c4c4,Dimensions: Add offset prop fallback to FF for unreliable TR dimensions,Timmy Willison,84,26,4,c82a08c545489cc30c951e0133ebbc7e50990429,src/css.js,16,14,30,2021-01-11 16:56:08
30,3bbbc11111840d6fd5160db13f2c1a9acb05c4c4,Dimensions: Add offset prop fallback to FF for unreliable TR dimensions,Timmy Willison,84,26,4,9e6a915d2bbb5d55235f4df3a45f1db845c31485,src/css/support.js,52,0,52,2021-01-11 16:56:08
