,SHA,title,committer,commit additions,commit deletions,files changed,file sha,filename,file additions,file deletions,file changes,date
0,9ad61c6bf757be8d8968fd5977ab3ae15b0c5aba,Change version to 4.13.3-SNAPSHOT,Marc Philipp,1,1,1,6c7862e76beaf9a9e2274ad88db6e3535a07f486,src/main/java/junit/runner/Version.java,1,1,2,2021-02-13 16:55:33
1,8b2ff14399264a378130c41cf0a00ca66d0c3a60,Link to 4.13.2 release notes,Marc Philipp,1,0,1,708cfa7b4b4cb4590e677b399cb5cf20bcd75499,src/site/xdoc/index.xml,1,0,1,2021-02-13 16:54:10
2,384d804930e054a331a0be32826a99e6fd8a35a4,[maven-release-plugin] prepare for next development iteration,Marc Philipp,2,2,1,c62a0ed8119ad0c489c0e0b69c5cde79c5e5195c,pom.xml,2,2,4,2021-02-13 16:30:56
3,05fe2a64f59127c02135be22f416e91260d6ede6,[maven-release-plugin] prepare release r4.13.2,Marc Philipp,2,2,1,38be96092f241cb4e1ff0d9046b323b67d34b127,pom.xml,2,2,4,2021-02-13 16:30:49
4,ff57344f7171ea8b0935c4f842cacf1097266592,Add build for JDK 17-ea,Marc Philipp,1,1,1,65bdbaa62aa33ed82ea3c4e4681768612c9506f2,.github/workflows/main.yml,1,1,2,2021-02-13 13:48:19
5,02aaa01b8f74c0eb496d76685ec49fddeb311087,Improve check that thread is stopped,Stefan Birkner,12,13,1,8bf7823f30af25678b0484112cec651cb2b87e65,src/test/java/org/junit/internal/runners/statements/FailOnTimeoutTest.java,12,13,25,2021-01-20 06:54:36
6,e9a75f4be71a4d5a794ccd063522eea4b0f3194f,Merge test for exception type and message,Stefan Birkner,2,9,1,857708fc84b6b752d22abd81ab21f84fc0b91141,src/test/java/org/junit/internal/runners/statements/FailOnTimeoutTest.java,2,9,11,2021-01-20 06:22:19
7,d27ad5259228e84c235dac24cd62f974ac0a8e1d,Rename DelegateStatement to DelegatingStatement,Stefan Birkner,3,3,1,04b329b1fff2f3c1b12e0ea5aa1eb721b8880b2f,src/test/java/org/junit/internal/runners/statements/FailOnTimeoutTest.java,3,3,6,2021-01-20 06:12:53
8,b83dc2e8c4ff06cf233cd347f1280bb417482985,Better name for test that stops statement,Stefan Birkner,3,1,1,19bb7bfc7245ee27cec85a611fb49d4476896de7,src/test/java/org/junit/internal/runners/statements/FailOnTimeoutTest.java,3,1,4,2021-01-17 19:42:40
9,527f3a3d0d71ad6dc66ede6f68f6fc316904ed2a,Replace InfiniteLoop with RunForASecond,Stefan Birkner,12,11,1,25fbd52d393a67b6ef024826dbfc087d0ee4d7e9,src/test/java/org/junit/internal/runners/statements/FailOnTimeoutTest.java,12,11,23,2021-01-17 19:22:23
10,2db63942882d91020b46d7333285e5c94f1d1e52,Tidy up FailOnTimeoutTest,Stefan Birkner,135,132,1,20ca9cd556308fc49326a66b553a9edeaaa8f36c,src/test/java/org/junit/internal/runners/statements/FailOnTimeoutTest.java,135,132,267,2021-01-02 15:54:40
11,64634e1c3e357251a84278c26b73b04fc3450ea3,Update 4.13.2 release notes to document pull 1654,Kevin Cooney,8,0,1,ba801396d1a48561b843ce0882bd2765dc03d1b6,doc/ReleaseNotes4.13.2.md,8,0,8,2021-01-17 03:24:40
12,f8ee412316b1a94d3dc35498359cc2f0ca273216,Fix serialization of AssumptionViolatedException (#1654),Riccardo Sirchia,225,0,6,0e79b562f5f2117bda6ff604c25c44cd2ae0ee54,src/main/java/org/junit/internal/AssumptionViolatedException.java,28,0,28,2021-01-11 05:26:40
13,f8ee412316b1a94d3dc35498359cc2f0ca273216,Fix serialization of AssumptionViolatedException (#1654),Riccardo Sirchia,225,0,6,e0365572001cf20194b95bdc5581064561ed5398,src/main/java/org/junit/internal/SerializableMatcherDescription.java,47,0,47,2021-01-11 05:26:40
14,f8ee412316b1a94d3dc35498359cc2f0ca273216,Fix serialization of AssumptionViolatedException (#1654),Riccardo Sirchia,225,0,6,4d055d7a401931551a04420025a1d686678ff749,src/main/java/org/junit/internal/SerializableValueDescription.java,38,0,38,2021-01-11 05:26:40
15,f8ee412316b1a94d3dc35498359cc2f0ca273216,Fix serialization of AssumptionViolatedException (#1654),Riccardo Sirchia,225,0,6,f5dbfcb9813b3b41e7a4a934a1a3acf78cae4c33,src/test/java/org/junit/AssumptionViolatedExceptionTest.java,112,0,112,2021-01-11 05:26:40
16,f8ee412316b1a94d3dc35498359cc2f0ca273216,Fix serialization of AssumptionViolatedException (#1654),Riccardo Sirchia,225,0,6,1409545b5ab9fea37211df850ec4740292026c14,src/test/resources/org/junit/assumptionViolatedExceptionWithValueAndMatcherCanBeReserialized_v4_13,0,0,0,2021-01-11 05:26:40
17,f8ee412316b1a94d3dc35498359cc2f0ca273216,Fix serialization of AssumptionViolatedException (#1654),Riccardo Sirchia,225,0,6,199c36d05588845f881c95e2184f398cbaed1297,src/test/resources/org/junit/assumptionViolatedExceptionWithoutValueAndMatcherCanBeReserialized_v4_13,0,0,0,2021-01-11 05:26:40
18,de77f666b6bcc640425dbbca559c9d62ea64a815,Only create ThreadGroups if FailOnTimeout.lookForStuckThread is true. (#1691),Kevin Cooney,85,11,3,3e89f62e591c08a470c965346d7ba077c47f8b85,doc/ReleaseNotes4.13.2.md,17,0,17,2021-01-10 04:14:02
19,de77f666b6bcc640425dbbca559c9d62ea64a815,Only create ThreadGroups if FailOnTimeout.lookForStuckThread is true. (#1691),Kevin Cooney,85,11,3,9362cc1689656f595fd34831124ea47bd2d667b2,src/main/java/org/junit/internal/runners/statements/FailOnTimeout.java,26,8,34,2021-01-10 04:14:02
20,de77f666b6bcc640425dbbca559c9d62ea64a815,Only create ThreadGroups if FailOnTimeout.lookForStuckThread is true. (#1691),Kevin Cooney,85,11,3,f1e7f79a886b5a0b17d1affd72a0e69ed5e7b6e4,src/test/java/org/junit/internal/runners/statements/FailOnTimeoutTest.java,42,3,45,2021-01-10 04:14:02
21,877750a0c8a5aff8d99e5164a1abed487d7f70cc,Extract sample test classes from StackTracesTest,Stefan Birkner,176,178,4,3f0f7a33b05176a2a1300ceab77602c38c5318fe,src/main/java/org/junit/internal/Throwables.java,4,1,5,2018-10-23 05:59:45
22,877750a0c8a5aff8d99e5164a1abed487d7f70cc,Extract sample test classes from StackTracesTest,Stefan Birkner,176,178,4,46f996b3da3a8373f9511856e03a508050a2a4ad,src/test/java/junit/tests/SampleJUnit3Tests.java,51,0,51,2018-10-23 05:59:45
23,877750a0c8a5aff8d99e5164a1abed487d7f70cc,Extract sample test classes from StackTracesTest,Stefan Birkner,176,178,4,5c0e8a1603a8f55b90a06e7da8b659e103162714,src/test/java/org/junit/internal/StackTracesTest.java,33,177,210,2018-10-23 05:59:45
24,877750a0c8a5aff8d99e5164a1abed487d7f70cc,Extract sample test classes from StackTracesTest,Stefan Birkner,176,178,4,739f17bc679aa56ce30bbaed7a8d0cf01ea14876,src/test/java/org/junit/tests/SampleJUnit4Tests.java,88,0,88,2018-10-23 05:59:45
25,ba3799facea95317bfd09ab802d0725b984ac2e3,Reordering the modifiers to comply with the JLS:,Anosh D. Ullenius,124,124,25,6f0f99dad04e0fd216b77ca7c7d7568abf3d609c,src/main/java/junit/extensions/ActiveTestSuite.java,1,1,2,2019-11-27 14:38:58
26,ba3799facea95317bfd09ab802d0725b984ac2e3,Reordering the modifiers to comply with the JLS:,Anosh D. Ullenius,124,124,25,43482a16b6f22c6da97a728b2875be71734167fb,src/main/java/junit/framework/Assert.java,37,37,74,2019-11-27 14:38:58
27,ba3799facea95317bfd09ab802d0725b984ac2e3,Reordering the modifiers to comply with the JLS:,Anosh D. Ullenius,124,124,25,752fa3bdf6acc675038c25deeff15dc81dcb5ea9,src/main/java/org/junit/runner/notification/RunNotifier.java,1,1,2,2019-11-27 14:38:58
28,ba3799facea95317bfd09ab802d0725b984ac2e3,Reordering the modifiers to comply with the JLS:,Anosh D. Ullenius,124,124,25,d8b58404f9a58146818c36ca3f81e0a4e98b9aff,src/main/java/org/junit/validator/AnnotationsValidator.java,1,1,2,2019-11-27 14:38:58
29,ba3799facea95317bfd09ab802d0725b984ac2e3,Reordering the modifiers to comply with the JLS:,Anosh D. Ullenius,124,124,25,8cd7ac2d657eb208e7b295232dd74caeb2852541,src/test/java/junit/tests/runner/ResultTest.java,1,1,2,2019-11-27 14:38:58
30,ba3799facea95317bfd09ab802d0725b984ac2e3,Reordering the modifiers to comply with the JLS:,Anosh D. Ullenius,124,124,25,6088f1d26229139fa270482f67704653ee11a5b8,src/test/java/org/junit/experimental/categories/CategoryTest.java,1,1,2,2019-11-27 14:38:58
31,ba3799facea95317bfd09ab802d0725b984ac2e3,Reordering the modifiers to comply with the JLS:,Anosh D. Ullenius,124,124,25,8bf6b9deeee4016314c36165729da86a70f44863,src/test/java/org/junit/rules/DisableOnDebugTest.java,1,1,2,2019-11-27 14:38:58
32,ba3799facea95317bfd09ab802d0725b984ac2e3,Reordering the modifiers to comply with the JLS:,Anosh D. Ullenius,124,124,25,6c59f7edab3c824454755de5bdfe325363573d63,src/test/java/org/junit/rules/MethodRulesTest.java,1,1,2,2019-11-27 14:38:58
33,ba3799facea95317bfd09ab802d0725b984ac2e3,Reordering the modifiers to comply with the JLS:,Anosh D. Ullenius,124,124,25,5941eb9b1bb129037b7efec0e320b601b2d78521,src/test/java/org/junit/rules/StopwatchTest.java,1,1,2,2019-11-27 14:38:58
34,ba3799facea95317bfd09ab802d0725b984ac2e3,Reordering the modifiers to comply with the JLS:,Anosh D. Ullenius,124,124,25,e011619cf679fe0acb501c5ad8bb2e3c4cce97b4,src/test/java/org/junit/tests/experimental/AssumptionTest.java,2,2,4,2019-11-27 14:38:58
35,ba3799facea95317bfd09ab802d0725b984ac2e3,Reordering the modifiers to comply with the JLS:,Anosh D. Ullenius,124,124,25,099b50fe14c422ad68dda1b16e9dd66223dbce11,src/test/java/org/junit/tests/experimental/theories/AssumingInTheoriesTest.java,1,1,2,2019-11-27 14:38:58
36,ba3799facea95317bfd09ab802d0725b984ac2e3,Reordering the modifiers to comply with the JLS:,Anosh D. Ullenius,124,124,25,80cfd897642df902014dc71b60cc6d5d1e7ac7bf,src/test/java/org/junit/tests/experimental/theories/runner/SuccessfulWithDataPointFields.java,1,1,2,2019-11-27 14:38:58
37,ba3799facea95317bfd09ab802d0725b984ac2e3,Reordering the modifiers to comply with the JLS:,Anosh D. Ullenius,124,124,25,3f4a7f40435ccdd9cd44a29f0413d4368fd994ef,src/test/java/org/junit/tests/junit3compatibility/AllTestsTest.java,2,2,4,2019-11-27 14:38:58
38,ba3799facea95317bfd09ab802d0725b984ac2e3,Reordering the modifiers to comply with the JLS:,Anosh D. Ullenius,124,124,25,79539d1497b4e3f9a8bd27c864febcaca7d82a00,src/test/java/org/junit/tests/junit3compatibility/ForwardCompatibilityTest.java,1,1,2,2019-11-27 14:38:58
39,ba3799facea95317bfd09ab802d0725b984ac2e3,Reordering the modifiers to comply with the JLS:,Anosh D. Ullenius,124,124,25,429bde6910e72d95798f865829a574e1b5cba0f8,src/test/java/org/junit/tests/junit3compatibility/JUnit38ClassRunnerTest.java,1,1,2,2019-11-27 14:38:58
40,ba3799facea95317bfd09ab802d0725b984ac2e3,Reordering the modifiers to comply with the JLS:,Anosh D. Ullenius,124,124,25,bee32f50b84de4c6a8e9f87de6d2555f6826270a,src/test/java/org/junit/tests/junit3compatibility/OldTests.java,1,1,2,2019-11-27 14:38:58
41,ba3799facea95317bfd09ab802d0725b984ac2e3,Reordering the modifiers to comply with the JLS:,Anosh D. Ullenius,124,124,25,55c1cd119afe5ec542dff243656c26083ab7328e,src/test/java/org/junit/tests/junit3compatibility/SuiteMethodTest.java,4,4,8,2019-11-27 14:38:58
42,ba3799facea95317bfd09ab802d0725b984ac2e3,Reordering the modifiers to comply with the JLS:,Anosh D. Ullenius,124,124,25,b3003394797baf34a5d67e8fcabe7573d03d28a7,src/test/java/org/junit/tests/listening/ListenerTest.java,1,1,2,2019-11-27 14:38:58
43,ba3799facea95317bfd09ab802d0725b984ac2e3,Reordering the modifiers to comply with the JLS:,Anosh D. Ullenius,124,124,25,a15340708fab7166129a25ff93d173d47cda131e,src/test/java/org/junit/tests/manipulation/SingleMethodTest.java,3,3,6,2019-11-27 14:38:58
44,ba3799facea95317bfd09ab802d0725b984ac2e3,Reordering the modifiers to comply with the JLS:,Anosh D. Ullenius,124,124,25,9a8165a4c73ee94d125e5fc0f51ebb11951e45f0,src/test/java/org/junit/tests/running/classes/EnclosedTest.java,1,1,2,2019-11-27 14:38:58
45,ba3799facea95317bfd09ab802d0725b984ac2e3,Reordering the modifiers to comply with the JLS:,Anosh D. Ullenius,124,124,25,6288dbc4af43a3b6151f941151d9bed90f17f9a2,src/test/java/org/junit/tests/running/classes/ParameterizedTestTest.java,14,14,28,2019-11-27 14:38:58
46,ba3799facea95317bfd09ab802d0725b984ac2e3,Reordering the modifiers to comply with the JLS:,Anosh D. Ullenius,124,124,25,37f065902884fbd9c9175208fc90ddbaeed2a5be,src/test/java/org/junit/tests/running/core/CommandLineTest.java,2,2,4,2019-11-27 14:38:58
47,ba3799facea95317bfd09ab802d0725b984ac2e3,Reordering the modifiers to comply with the JLS:,Anosh D. Ullenius,124,124,25,64af301ae93e324a7e637a4ddfcaec2c30afb820,src/test/java/org/junit/tests/running/core/JUnitCoreReturnsCorrectExitCodeTest.java,2,2,4,2019-11-27 14:38:58
48,ba3799facea95317bfd09ab802d0725b984ac2e3,Reordering the modifiers to comply with the JLS:,Anosh D. Ullenius,124,124,25,0025178910127ba810963d2513b7e1854407cbf6,src/test/java/org/junit/tests/running/methods/AnnotationTest.java,40,40,80,2019-11-27 14:38:58
49,ba3799facea95317bfd09ab802d0725b984ac2e3,Reordering the modifiers to comply with the JLS:,Anosh D. Ullenius,124,124,25,4e249581af73cac2d61689f35b36330ac8ebe182,src/test/java/org/junit/tests/running/methods/ParameterizedTestMethodTest.java,3,3,6,2019-11-27 14:38:58
50,318e5a7861940cf0cf796bffb033e148d049b524,Clean up imports,Anosh D. Ullenius,22,46,13,92f2e6b0482cd660ed7f223af747e763f22dc57a,src/main/java/org/junit/experimental/results/ResultMatchers.java,0,1,1,2019-11-27 14:16:45
51,318e5a7861940cf0cf796bffb033e148d049b524,Clean up imports,Anosh D. Ullenius,22,46,13,ea2b16f8c4aefe8739bd9c343d3590bf1d2cd163,src/main/java/org/junit/runners/model/FrameworkField.java,0,1,1,2019-11-27 14:16:45
52,318e5a7861940cf0cf796bffb033e148d049b524,Clean up imports,Anosh D. Ullenius,22,46,13,734cf6c4ecd4e383f23bb604f8ca386b3a829a2c,src/test/java/junit/tests/runner/ResultTest.java,0,2,2,2019-11-27 14:16:45
53,318e5a7861940cf0cf796bffb033e148d049b524,Clean up imports,Anosh D. Ullenius,22,46,13,3d792225d179f1f38a57484a0f30124c017d3e67,src/test/java/org/junit/experimental/categories/CategoriesAndParameterizedTest.java,0,2,2,2019-11-27 14:16:45
54,318e5a7861940cf0cf796bffb033e148d049b524,Clean up imports,Anosh D. Ullenius,22,46,13,9aa14fcf95a5a04a3cfbcc20835ffa7b9c7f430c,src/test/java/org/junit/experimental/categories/CategoryTest.java,6,7,13,2019-11-27 14:16:45
55,318e5a7861940cf0cf796bffb033e148d049b524,Clean up imports,Anosh D. Ullenius,22,46,13,6d7c22ec31ddd6b43779dbc8f81a677da334f5f1,src/test/java/org/junit/experimental/categories/CategoryValidatorTest.java,0,2,2,2019-11-27 14:16:45
56,318e5a7861940cf0cf796bffb033e148d049b524,Clean up imports,Anosh D. Ullenius,22,46,13,fc0df7248bbd21d885c49e19b3bbd1f68764d58d,src/test/java/org/junit/experimental/categories/JavadocTest.java,5,7,12,2019-11-27 14:16:45
57,318e5a7861940cf0cf796bffb033e148d049b524,Clean up imports,Anosh D. Ullenius,22,46,13,68a580cdead783779d1d17753f64ae28ae2a8244,src/test/java/org/junit/experimental/categories/MultiCategoryTest.java,6,8,14,2019-11-27 14:16:45
58,318e5a7861940cf0cf796bffb033e148d049b524,Clean up imports,Anosh D. Ullenius,22,46,13,54daf8dc59a7f273bf15bfebf2d7c5a8a768a96c,src/test/java/org/junit/rules/RuleChainTest.java,0,2,2,2019-11-27 14:16:45
59,318e5a7861940cf0cf796bffb033e148d049b524,Clean up imports,Anosh D. Ullenius,22,46,13,cc6db7d9eb3492168d7a7dfec0d02482c624f857,src/test/java/org/junit/rules/TestRuleTest.java,0,4,4,2019-11-27 14:16:45
60,318e5a7861940cf0cf796bffb033e148d049b524,Clean up imports,Anosh D. Ullenius,22,46,13,5464fb27f9ac2e585e89ed75bdae3c9a0f00266f,src/test/java/org/junit/runners/AllRunnersTests.java,0,1,1,2019-11-27 14:16:45
61,318e5a7861940cf0cf796bffb033e148d049b524,Clean up imports,Anosh D. Ullenius,22,46,13,8c6649c5022f5c4566bd93bb88b4f2582c322f0c,src/test/java/org/junit/runners/RuleContainerTest.java,0,2,2,2019-11-27 14:16:45
62,318e5a7861940cf0cf796bffb033e148d049b524,Clean up imports,Anosh D. Ullenius,22,46,13,16443368d7dcfabc29930e24dd77af26cb41471d,src/test/java/org/junit/tests/running/classes/parent/ParentRunnerClassLoaderTest.java,5,7,12,2019-11-27 14:16:45
63,8d9690a8be8d2c320f73b0f6074fdd8478eab0ae,Remove commented out code,Anosh D. Ullenius,1,1,1,44e16fd599d03fd66ee0453eacc9f9af0fcb4a40,src/test/java/junit/tests/runner/TextRunnerTest.java,1,1,2,2019-11-27 14:13:42
64,cfec8c7d242feaff0d42ff61c28993ffa537fb83,Initial release notes for 4.13.2 (#1692),Kevin Cooney,13,0,1,919eadff7e72ebf647d957eae414a6a04d08dabf,doc/ReleaseNotes4.13.2.md,13,0,13,2021-01-04 21:35:35
65,1254795902e56eb545e1fe696827924bc5e82b66,Mark ThreadGroups created by FailOnTimeout as daemon groups (#1687),Kevin Cooney,41,43,2,e0f3c53947c72ad9477d22490ea89f918a4c29a3,src/main/java/org/junit/internal/runners/statements/FailOnTimeout.java,12,19,31,2021-01-02 22:09:07
66,1254795902e56eb545e1fe696827924bc5e82b66,Mark ThreadGroups created by FailOnTimeout as daemon groups (#1687),Kevin Cooney,41,43,2,f922169ffe3d00f9cc38a61bb8f37c8d44cb25f0,src/test/java/org/junit/internal/runners/statements/FailOnTimeoutTest.java,29,24,53,2021-01-02 22:09:07
67,8b39600f931e341fb8a387a20b367bf88762b6a5,Update POM to reflect changed CI system,Marc Philipp,2,2,1,b651a052bc618226172eec1f64a4e4665b4c4cc4,pom.xml,2,2,4,2021-01-02 16:41:12
68,2bca0a42dcb09f522ceadcb97dfb8534a72d584c,Delete Travis config and badge,Marc Philipp,1,92,3,332f39daa17bb13b1a5b3c1401c2f4cb0c6c16f9,.travis.settings.xml,0,22,22,2021-01-02 14:51:52
69,2bca0a42dcb09f522ceadcb97dfb8534a72d584c,Delete Travis config and badge,Marc Philipp,1,92,3,5b1744397f2994e91df59461f43902a661108836,.travis.yml,0,69,69,2021-01-02 14:51:52
70,2bca0a42dcb09f522ceadcb97dfb8534a72d584c,Delete Travis config and badge,Marc Philipp,1,92,3,739347df507869dae1df7646019866118112083f,README.md,1,1,2,2021-01-02 14:51:52
71,b4f26d249ae9d25f3ca777908ff430d02487a20a,Add GH Actions workflow,Marc Philipp,70,0,2,3ea3f6a0c584a192569c2b5dda8fbbc354d038b9,.github/workflows/main.yml,48,0,48,2021-01-02 14:09:55
72,b4f26d249ae9d25f3ca777908ff430d02487a20a,Add GH Actions workflow,Marc Philipp,70,0,2,332f39daa17bb13b1a5b3c1401c2f4cb0c6c16f9,.github/workflows/settings.xml,22,0,22,2021-01-02 14:09:55
73,66083734d13aa67e616f3c4b429c019c5992bba0,Fix build for Java 12 and above,Marc Philipp,51,5,1,31098bfd0d250370b8fd5bb7edc74bf9b02f02a0,pom.xml,51,5,56,2021-01-02 14:41:57
74,116c1e7e203d4392c7647bce2b307635896dcd6d,Fix tests for floating point assertions (#1673),Olivier Blanvillain,17,13,2,f4161091ec145eabb7716c73e224d2c5122f1579,src/test/java/junit/tests/framework/DoublePrecisionAssertTest.java,8,4,12,2021-01-02 13:53:45
75,116c1e7e203d4392c7647bce2b307635896dcd6d,Fix tests for floating point assertions (#1673),Olivier Blanvillain,17,13,2,aeae9443d80da43e4cb0974bc767ab03a399cabd,src/test/java/junit/tests/framework/FloatAssertTest.java,9,9,18,2021-01-02 13:53:45
76,7852b90cfe1cea1e0cdaa19d490c83f0d8684b50,Document security fix in release notes,Marc Philipp,6,0,1,0305102d27f4fe83d5dfed1315662ccc81251e09,doc/ReleaseNotes4.13.1.md,6,0,6,2020-10-11 15:41:24
77,c40e88d2407b7925adc404199be5a367aab1b86c,Update Version.java,Marc Philipp,1,1,1,bb12a70a95aa57d00cdfed5fa0cb5fbde3825cc7,src/main/java/junit/runner/Version.java,1,1,2,2020-10-11 15:32:06
78,db02762dc7ff784d4b68cbbdf8a86412ce87f11e,[maven-release-plugin] prepare for next development iteration,Marc Philipp,2,2,1,ab0d4163018c2a5bae4d1481a39545689889085c,pom.xml,2,2,4,2020-10-11 15:18:57
79,1b683f4ec07bcfa40149f086d32240f805487e66,[maven-release-plugin] prepare release r4.13.1,Marc Philipp,2,2,1,428715884b4e4e92f2c2ee0e39a9ab865ded6ad3,pom.xml,2,2,4,2020-10-11 15:18:49
80,ce6ce3aadc070db2902698fe0d3dc6729cd631f2,Draft 4.13.1 release notes,Marc Philipp,8,0,2,ab44490622c6021e235db6c837081f2f2856d0a7,doc/ReleaseNotes4.13.1.md,7,0,7,2020-10-11 15:14:28
81,ce6ce3aadc070db2902698fe0d3dc6729cd631f2,Draft 4.13.1 release notes,Marc Philipp,8,0,2,6cd91b2d1f455a8eed9b2a8bfd2da56dd8fc0a04,src/site/xdoc/index.xml,1,0,1,2020-10-11 15:14:28
82,c29dd8239d6b353e699397eb090a1fd27411fa24,Change version to 4.13.1-SNAPSHOT,Marc Philipp,3,3,3,aafd4f537d98a596c6bf994c08410c45708aa1e6,pom.xml,1,1,2,2020-10-11 15:05:06
