,SHA,title,committer,commit additions,commit deletions,files changed,file sha,filename,file additions,file deletions,file changes,date
0,1538dd1f149d970917958a2345c5b2e5d157875c,"Update link to web Open MCT, make more prominent",Victor Woeltjen,3,2,1,4a5d5589e0a28f48e4c242a43992856a51605ea8,README.md,3,2,5,2016-05-19 16:52:59
1,463319004a3b2aa0d1143e5860356a9cc8971c47,Update README.md,Victor Woeltjen,4,1,1,8a2f3f4862e638b5bae0d4af92ac67d4ce937974,README.md,4,1,5,2015-09-11 18:07:51
2,43030d8a93b13673efcd657c899f88ee9dc2463b,iss210,Dong,1,1,1,0f8a55be1aeadde16c8665dcaa2e51e1c8febde0,databasePersistence/src/main/java/gov/nasa/arc/mct/dbpersistence/service/PersistenceServiceImpl.java,1,1,2,2014-08-25 19:22:17
3,7dc079b17fd568ffb7dbaf8b8b49329a57bb3fcf,Update README.md,VWoeltjen,2,2,1,f5b9be88e9fd76261451af838da9f4db1ecf97da,README.md,2,2,4,2014-07-08 17:13:58
4,a274534816ae517564f899e0b419d068a181c3cf,Merge pull request #294 from JieD/master,VWoeltjen,29,5,2,36ef9455e5dbced60260655a4ce4c7fe1d7eabb4,mctcore/src/main/java/gov/nasa/arc/mct/gui/FeedView.java,26,5,31,2014-06-10 20:18:25
5,a274534816ae517564f899e0b419d068a181c3cf,Merge pull request #294 from JieD/master,VWoeltjen,29,5,2,3e30c17cdcfa5cd9a9cbcbc7139b226d68b13214,platform-assembly/src/main/resources/properties/mct.properties,3,0,3,2014-06-10 20:18:25
6,69c4b8e68fcaa0a48865c2cf53ac8b6625517aab,update initial value of paint_rate,Dong,2,2,1,36ef9455e5dbced60260655a4ce4c7fe1d7eabb4,mctcore/src/main/java/gov/nasa/arc/mct/gui/FeedView.java,2,2,4,2014-06-05 16:04:45
7,e32d36e970ba68101402da6988e3b6e432424182,issue 286 update,Dong,24,4,2,c985c9db6fb9fc43f8630f365c161944420da980,mctcore/src/main/java/gov/nasa/arc/mct/gui/FeedView.java,23,3,26,2014-06-02 23:16:28
8,e32d36e970ba68101402da6988e3b6e432424182,issue 286 update,Dong,24,4,2,3e30c17cdcfa5cd9a9cbcbc7139b226d68b13214,platform-assembly/src/main/resources/properties/mct.properties,1,1,2,2014-06-02 23:16:28
9,4ce53f8c0c4c680c663822c690916cdfdee65bd4,iss286,Dong,7,3,2,3354291ed34a70fe6133b1d4c76eaa2ff317b5ff,mctcore/src/main/java/gov/nasa/arc/mct/gui/FeedView.java,4,3,7,2014-05-27 22:40:40
10,4ce53f8c0c4c680c663822c690916cdfdee65bd4,iss286,Dong,7,3,2,efabcc6a053ec9c4cad267451b948c839156aa69,platform-assembly/src/main/resources/properties/mct.properties,3,0,3,2014-05-27 22:40:40
11,287a45829f5a508140e09b5c640049d06e6e2ecf,Merge pull request #285 from JieD/master,VWoeltjen,16,4,5,02485209f4af39678621a7dcfc6269f9e90e5571,platform/src/main/java/gov/nasa/arc/mct/gui/actions/CenterPaneRevertToCommitted.java,1,1,2,2014-04-22 23:12:41
