,SHA,title,committer,date,commit additions,commit deletions,files changed,file sha,filename,file additions,file deletions,file changes
0,490ba2aae9cfee097a88b6e2be98aeb1ce990050,README: Explain gamma ramps and why integrated features should be preferred,Jon Lund Steffensen,2020-06-14 17:37:26,24,1,1,85c00e0d665aa5dc5d1dab55f842acf4a725b28b,README.md,24,1,25
1,2f15e929d2cbdfa2332df3bb1da3f60433f225fd,README: Fix heading,Jon Lund Steffensen,2020-06-14 16:59:55,1,2,1,94dd661cfae9cf52a7cc992116a6e6c556c1f334,README.md,1,2,3
2,667eec2bcd56a315e18796cc3baf70b941162753,Minor updates to README formatting,Jon Lund Steffensen,2020-06-14 16:58:36,16,14,1,3cf703406e37cff79d9a0156d8d20130ef9897c6,README.md,16,14,30
3,e8ff48cf11ed07c8a3d105bfe5381c4407b2e925,Merge pull request #753 from WhyNotHugo/systemd-tweaks,Jon Lund Steffensen,2020-06-14 16:23:15,16,4,3,e5ff74ce789d77748179320d9496b9fa27545ed8,README.md,12,0,12
4,e8ff48cf11ed07c8a3d105bfe5381c4407b2e925,Merge pull request #753 from WhyNotHugo/systemd-tweaks,Jon Lund Steffensen,2020-06-14 16:23:15,16,4,3,79e61658c4caa2940825e34782859ba6e8f5e2c2,data/systemd/redshift-gtk.service.in,2,2,4
5,e8ff48cf11ed07c8a3d105bfe5381c4407b2e925,Merge pull request #753 from WhyNotHugo/systemd-tweaks,Jon Lund Steffensen,2020-06-14 16:23:15,16,4,3,aad31ca461fa273d5208287d172db953da829973,data/systemd/redshift.service.in,2,2,4
6,6ceecc4aebabfd8849733911edff16ca9a68e424,Add a FAQ entry on issues with running via systemd,Hugo Osvaldo Barrera,2020-03-20 10:11:20,12,0,1,e5ff74ce789d77748179320d9496b9fa27545ed8,README.md,12,0,12
7,8bc937a700b9dadef0b7085fb9e792af18530bf9,Change services to by wanted by graphical-session,Hugo Osvaldo Barrera,2020-03-20 10:01:58,2,2,2,79e61658c4caa2940825e34782859ba6e8f5e2c2,data/systemd/redshift-gtk.service.in,1,1,2
8,8bc937a700b9dadef0b7085fb9e792af18530bf9,Change services to by wanted by graphical-session,Hugo Osvaldo Barrera,2020-03-20 10:01:58,2,2,2,aad31ca461fa273d5208287d172db953da829973,data/systemd/redshift.service.in,1,1,2
9,c1026be5bb51dd21d182fe545155b70adc869d61,Set redshift to run after graphical-sesion.target,Hugo Osvaldo Barrera,2020-03-20 09:59:56,2,2,2,439d90e5fb81b829f1223a549930f312f1d58da1,data/systemd/redshift-gtk.service.in,1,1,2
10,c1026be5bb51dd21d182fe545155b70adc869d61,Set redshift to run after graphical-sesion.target,Hugo Osvaldo Barrera,2020-03-20 09:59:56,2,2,2,59db2e5e3a8daeb033826342157560f5fbf6c7ea,data/systemd/redshift.service.in,1,1,2
11,2e68682cf511e7aaff15a6fe3487ff6ce50f0e43,Merge branch 'pull/751',Jon Lund Steffensen,2020-06-14 02:08:25,17,12,1,453b32acc7dbbb47a5f8797dc2ff03b867273e69,README.md,17,12,29
12,a6746a6e6f020051f05634652662a8bf2139b664,Use real 3rd-level headers in README so that you can link to them,ariasuni,2020-03-03 23:50:32,12,12,1,453b32acc7dbbb47a5f8797dc2ff03b867273e69,README.md,12,12,24
13,d3662db94f43eaf8b1bec8cc232eed1cdb19a890,List some alternatives to Redshift on Wayland,ariasuni,2020-03-03 16:05:09,5,0,1,64a130c4d7099356e23f677c8bd175786aca511a,README.md,5,0,5
14,3013a1bb9c9c5c2bb3b4cd085002081a87c2a3ad,Merge pull request #761 from jonls/jonls/remove-travis-macos-workaround,Jon Lund Steffensen,2020-06-14 01:56:37,5,8,2,cc0d35d3a8ca29282dbc7b6a25d25511e3fc045a,.travis.yml,0,8,8
15,3013a1bb9c9c5c2bb3b4cd085002081a87c2a3ad,Merge pull request #761 from jonls/jonls/remove-travis-macos-workaround,Jon Lund Steffensen,2020-06-14 01:56:37,5,8,2,d2ba577cbfc97769fbe3d9529325cb063ced9009,src/redshift.c,5,0,5
16,afb806f0bfcf324403e30aa3d4f031159c253ae0,Try to remove brew upgrade python,Jon Lund Steffensen,2020-06-14 01:46:29,0,1,1,cc0d35d3a8ca29282dbc7b6a25d25511e3fc045a,.travis.yml,0,1,1
17,d87a28a6f5ce98fa7c7594d71cd2a4a7502f7963,src/redshift.c: Use localtime_s() on Windows,Masanori Kakura,2019-10-02 13:24:22,5,0,1,d2ba577cbfc97769fbe3d9529325cb063ced9009,src/redshift.c,5,0,5
18,ae9982925e24448abf8947200f3061b640a3c268,Remove Travis macOS workaround,Jon Lund Steffensen,2020-06-14 01:19:20,0,7,1,61474cc3c1b1e6d3c24964bd9c8a3bec52c0db34,.travis.yml,0,7,7
19,1da93dcd7d4abf3bc3b46e192e940d80c39465df,src/redshift.c: Use localtime_s() on Windows,Masanori Kakura,2019-10-02 13:24:22,5,0,1,d2ba577cbfc97769fbe3d9529325cb063ced9009,src/redshift.c,5,0,5
20,04760afe31bff5b26cf18fe51606e7bdeac15504,Merge pull request #710 from hubvu/suspend-feature,Jon Lund Steffensen,2019-03-04 16:40:16,3,1,1,b4adfb003b5ca374328458f24a14d128d2b89ffc,src/redshift-gtk/statusicon.py,3,1,4
