,SHA,title,committer,date,commit additions,commit deletions,files changed,file sha,filename,file additions,file deletions,file changes
0,310f8557a794bb94291cf8d5ef5f31d8258a3338,docs(examples): add missing module (#4018),brownman,2021-07-15 19:48:20,1,0,1,d7573ff77ce8e19ef432729767247b42c5d384f5,examples/basic-crud-application/server/package.json,1,0,1
1,dbd2a07cdad654c030d09c0e479703636d96f127,chore(release): 4.1.3,Damien Arrachequesne,2021-07-10 10:13:15,106,93,9,9362d81c43c0266cd505ae12e21703cc0b6ab8a8,CHANGELOG.md,9,0,9
2,dbd2a07cdad654c030d09c0e479703636d96f127,chore(release): 4.1.3,Damien Arrachequesne,2021-07-10 10:13:15,106,93,9,9c6a8a37135c81632fd9830618704610f452164a,client-dist/socket.io.js,80,63,143
3,dbd2a07cdad654c030d09c0e479703636d96f127,chore(release): 4.1.3,Damien Arrachequesne,2021-07-10 10:13:15,106,93,9,b7ef5ba889024eebf371799f395acec384a20843,client-dist/socket.io.js.map,1,1,2
4,dbd2a07cdad654c030d09c0e479703636d96f127,chore(release): 4.1.3,Damien Arrachequesne,2021-07-10 10:13:15,106,93,9,bc1643f23f1c1f35fb678cc8ad0047154cb3f8dd,client-dist/socket.io.min.js,2,2,4
5,dbd2a07cdad654c030d09c0e479703636d96f127,chore(release): 4.1.3,Damien Arrachequesne,2021-07-10 10:13:15,106,93,9,26123eda705671d9bdc6a787531b4d08b77deec1,client-dist/socket.io.min.js.map,1,1,2
6,dbd2a07cdad654c030d09c0e479703636d96f127,chore(release): 4.1.3,Damien Arrachequesne,2021-07-10 10:13:15,106,93,9,1c623e022b10deb42574bc47d3b5bd7d6c04af6a,client-dist/socket.io.msgpack.min.js,2,2,4
7,dbd2a07cdad654c030d09c0e479703636d96f127,chore(release): 4.1.3,Damien Arrachequesne,2021-07-10 10:13:15,106,93,9,a6b111b7b9594ff3469e89575c3178f0a9aa75c3,client-dist/socket.io.msgpack.min.js.map,1,1,2
8,dbd2a07cdad654c030d09c0e479703636d96f127,chore(release): 4.1.3,Damien Arrachequesne,2021-07-10 10:13:15,106,93,9,62e10499a47ab580b7ac53fdd0159ee2128ca815,package-lock.json,8,21,29
9,dbd2a07cdad654c030d09c0e479703636d96f127,chore(release): 4.1.3,Damien Arrachequesne,2021-07-10 10:13:15,106,93,9,a3f99bcdc25a7f20f028c5f8fa151321a45d300e,package.json,2,2,4
10,94e27cd072c8a4eeb9636f6ffbb7a21d382f36b0,fix: fix io.except() method,Damien Arrachequesne,2021-07-10 09:48:46,23,5,2,c7b04d03cd92ef064b84bf4e8418cecfecaa450e,lib/index.ts,2,5,7
11,94e27cd072c8a4eeb9636f6ffbb7a21d382f36b0,fix: fix io.except() method,Damien Arrachequesne,2021-07-10 09:48:46,23,5,2,7860405a88a5f670413698637fcc99602c2ebdf3,test/socket.io.ts,21,0,21
12,a4dffc6527f412d51a786ae5bf2e9080fe1ca63c,fix: remove x-sourcemap header,Damien Arrachequesne,2021-07-03 22:39:46,1,4,2,6f9f882ad677d701d5cfc22273e1ee48a513d745,lib/index.ts,0,3,3
13,a4dffc6527f412d51a786ae5bf2e9080fe1ca63c,fix: remove x-sourcemap header,Damien Arrachequesne,2021-07-03 22:39:46,1,4,2,87c36693fbdb3280faba4fb159b82b221b41eec7,test/socket.io.ts,1,1,2
14,7c44893d7878cd5bba1eff43150c3e664f88fb57,chore: bump dependencies,Damien Arrachequesne,2021-07-03 22:37:35,323,1490,7,bbb2253ebae0b96580b2f01819c199edb17acebe,lib/broadcast-operator.ts,5,3,8
15,7c44893d7878cd5bba1eff43150c3e664f88fb57,chore: bump dependencies,Damien Arrachequesne,2021-07-03 22:37:35,323,1490,7,53aad1188fa6a6ce242481545580d596378f66e5,lib/index.ts,2,4,6
16,7c44893d7878cd5bba1eff43150c3e664f88fb57,chore: bump dependencies,Damien Arrachequesne,2021-07-03 22:37:35,323,1490,7,a3b4d5b82caa6d03a57e83bc370b85abefcdb24e,lib/parent-namespace.ts,2,3,5
17,7c44893d7878cd5bba1eff43150c3e664f88fb57,chore: bump dependencies,Damien Arrachequesne,2021-07-03 22:37:35,323,1490,7,7f1f16bfc32500e323981c6ad572fcf372757647,lib/socket.ts,2,3,5
18,7c44893d7878cd5bba1eff43150c3e664f88fb57,chore: bump dependencies,Damien Arrachequesne,2021-07-03 22:37:35,323,1490,7,d1350e94f2f2e7d4828adeff17d0e5e6c83e6207,lib/typed-events.ts,2,1,3
19,7c44893d7878cd5bba1eff43150c3e664f88fb57,chore: bump dependencies,Damien Arrachequesne,2021-07-03 22:37:35,323,1490,7,e1c427e3e1796781dc6b3b895c14f91cf029afae,package-lock.json,300,1463,1763
20,7c44893d7878cd5bba1eff43150c3e664f88fb57,chore: bump dependencies,Damien Arrachequesne,2021-07-03 22:37:35,323,1490,7,0b018cd26d79890ad6dd2f5a4e7f4023274de143,package.json,10,13,23
21,b833f918c8e30cd4fd42b8315325e0a9d6b10caf,ci: update to node 16 (#3990),Daniele TDC,2021-06-25 17:02:26,1,1,1,8dbf9110fc3f8a877a6f5cd955753e854d306e2b,.github/workflows/ci.yml,1,1,2
22,24d8d1f67f09781e158d0b1d962bc34b82df0455,ci: update setup-node step (#3986),Daniele TDC,2021-06-24 12:53:46,1,1,1,4adcee1a7995625c00c3e4d7ee5d2fe84a3133da,.github/workflows/ci.yml,1,1,2
23,6f2a50b9327fb5da6a1fb04ed436e156c042f470,docs(examples): update example to webpack 5,Damien Arrachequesne,2021-06-15 20:35:06,44,28,5,c209a3312957f1161f3e34ca09bc2bb90f81aaf6,examples/webpack-build-server/index.js,20,0,20
24,6f2a50b9327fb5da6a1fb04ed436e156c042f470,docs(examples): update example to webpack 5,Damien Arrachequesne,2021-06-15 20:35:06,44,28,5,6e829ddfc984c802d353d314b11527f0b94fa7e7,examples/webpack-build-server/lib/index.js,0,15,15
