,SHA,title,committer,commit additions,commit deletions,files changed,file sha,filename,file additions,file deletions,file changes,date
0,32a137491c4214dac53177fe2f1604fb9193f579,Update all Yarn dependencies (2021-06-07) (#2271),depfu[bot],24,31,2,91242286f28449a974e9a9a111bf79e9df46693e,package.json,3,3,6,2021-06-07 08:34:11
1,32a137491c4214dac53177fe2f1604fb9193f579,Update all Yarn dependencies (2021-06-07) (#2271),depfu[bot],24,31,2,01befd5af9b315a0cb2c87afe263a5ec7baf59b2,yarn.lock,21,28,49,2021-06-07 08:34:11
2,69c90b5f7e51a3d8448a48433e6d790c469d48c4,chore(release): 11.0.16 [skip ci],semantic-release-bot,9,2,3,f1c0d29f1a10337c6bf712cb3d2e1be3c9544742,CHANGELOG.md,7,0,7,2021-05-30 10:13:52
3,69c90b5f7e51a3d8448a48433e6d790c469d48c4,chore(release): 11.0.16 [skip ci],semantic-release-bot,9,2,3,9b82773c325020d2a7f7a63ca55f6151305e9ce1,package.json,1,1,2,2021-05-30 10:13:52
4,69c90b5f7e51a3d8448a48433e6d790c469d48c4,chore(release): 11.0.16 [skip ci],semantic-release-bot,9,2,3,f8621efb16bfddf692db18e3ca591d78cade5522,src/SweetAlert.js,1,1,2,2021-05-30 10:13:52
5,fbe52c3d7db88c9806477470439c9f3850dbe15b,fix: warning for allowOutsideClick (#2270),Limon Monte,489,527,7,e9b7aa6cd9f684c9d39012606a8de449cba27282,cypress/integration/params/allowOutsideClick.spec.js,55,0,55,2021-05-30 10:06:28
6,fbe52c3d7db88c9806477470439c9f3850dbe15b,fix: warning for allowOutsideClick (#2270),Limon Monte,489,527,7,1bcf53e6e5016f6f175aacac231a49e74722ef5d,cypress/integration/tests.spec.js,1,45,46,2021-05-30 10:06:28
7,fbe52c3d7db88c9806477470439c9f3850dbe15b,fix: warning for allowOutsideClick (#2270),Limon Monte,489,527,7,57a8e92701b6c93c0ca929d752bb838fb561f810,package.json,2,2,4,2021-05-30 10:06:28
8,fbe52c3d7db88c9806477470439c9f3850dbe15b,fix: warning for allowOutsideClick (#2270),Limon Monte,489,527,7,22201e346eb787356dadd4f30432f497e7ab6c7b,src/utils/dom/renderers/renderContainer.js,0,4,4,2021-05-30 10:06:28
9,fbe52c3d7db88c9806477470439c9f3850dbe15b,fix: warning for allowOutsideClick (#2270),Limon Monte,489,527,7,7f6713b032090b8821b7a53d5a100af953e48c7a,src/utils/params.js,4,0,4,2021-05-30 10:06:28
10,fbe52c3d7db88c9806477470439c9f3850dbe15b,fix: warning for allowOutsideClick (#2270),Limon Monte,489,527,7,3da507f59fc6f4fd8758c0aa9706890af013612a,test/require-in-node.js,2,2,4,2021-05-30 10:06:28
11,fbe52c3d7db88c9806477470439c9f3850dbe15b,fix: warning for allowOutsideClick (#2270),Limon Monte,489,527,7,cbc2bcd39012d444026ba5df66624b1ef548ae82,yarn.lock,425,474,899,2021-05-30 10:06:28
12,d0141430d1b822839352f777afcddaecae6718a6,chore(release): 11.0.15 [skip ci],semantic-release-bot,9,2,3,7731751144961d2f6cf43d4d8859f3862cc34771,CHANGELOG.md,7,0,7,2021-05-29 22:09:23
13,d0141430d1b822839352f777afcddaecae6718a6,chore(release): 11.0.15 [skip ci],semantic-release-bot,9,2,3,fd3206f2b4dff015629fd249389a94586becbb11,package.json,1,1,2,2021-05-29 22:09:23
14,d0141430d1b822839352f777afcddaecae6718a6,chore(release): 11.0.15 [skip ci],semantic-release-bot,9,2,3,8442282c9a729e6ced038af51a659c7b33d6a4e6,src/SweetAlert.js,1,1,2,2021-05-29 22:09:23
15,5b87ee7fa8fd8f754add8d52aa7739e1bd62563c,fix(types): add missing types for Swal.getContainer(),Limon Monte,5,0,1,d9a7d7f4ae3db5b27f1bbabeba5be2c327eac0b6,sweetalert2.d.ts,5,0,5,2021-05-29 22:02:55
16,58218811e5e114adaeeb5fde0eb78a1104022598,chore(release): 11.0.14 [skip ci],semantic-release-bot,9,2,3,fe4adcdfdae2fc3148c68bb387ced08f9d8a467e,CHANGELOG.md,7,0,7,2021-05-29 14:32:33
17,58218811e5e114adaeeb5fde0eb78a1104022598,chore(release): 11.0.14 [skip ci],semantic-release-bot,9,2,3,c679e669e8e3f8779a3948c97ba1b023daf0b237,package.json,1,1,2,2021-05-29 14:32:33
18,58218811e5e114adaeeb5fde0eb78a1104022598,chore(release): 11.0.14 [skip ci],semantic-release-bot,9,2,3,c17903b83b0f4228c90ae80a9e53e4a5e4e6a5fb,src/SweetAlert.js,1,1,2,2021-05-29 14:32:33
19,5559256ff407c31f05407de76bc5eb1b5f26fc6a,fix(safari): purge container instead of removing it (#2268),Limon Monte,8,1,1,203e5d802573df58d9c1e7187b7287ae2aa68a4c,src/instanceMethods/close.js,8,1,9,2021-05-29 14:25:54
20,0059084ff3897f8c4492595de19b9a3c7ea84e13,chore(release): 11.0.13 [skip ci],semantic-release-bot,9,2,3,fcbcef149b2cb43dc8c285765a4c29e26bd97bdf,CHANGELOG.md,7,0,7,2021-05-29 13:02:19
21,0059084ff3897f8c4492595de19b9a3c7ea84e13,chore(release): 11.0.13 [skip ci],semantic-release-bot,9,2,3,4d5097d54deaf56911b3bb52e34caa3b2760ed2d,package.json,1,1,2,2021-05-29 13:02:19
22,0059084ff3897f8c4492595de19b9a3c7ea84e13,chore(release): 11.0.13 [skip ci],semantic-release-bot,9,2,3,786227ae09a8f06891ca9d212c66445f36739e81,src/SweetAlert.js,1,1,2,2021-05-29 13:02:19
23,a14bdc0fda91944fd1e70d562a2158145c20d1ee,fix: scroll textarea in iOS (#2267),Limon Monte,1,0,1,ea3f901ec7836511ab6d0ffd1b802c5304c7f3bc,src/utils/iosFix.js,1,0,1,2021-05-29 12:55:23
24,7e87bc7ecf45638b0ff9519f45f17505e3611410,chore(deps): bump ws from 7.4.5 to 7.4.6 (#2265),dependabot[bot],3,3,1,7a5e4c204c16780582a16e4541a57735d57243ac,yarn.lock,3,3,6,2021-05-29 03:39:14
25,3dbff1e7109e820ac35c70f4a2fed5ba6f4062be,chore(release): 11.0.12 [skip ci],semantic-release-bot,9,2,3,314b5cd70d9ca51c0a484e933b0e1913cd9b65e6,CHANGELOG.md,7,0,7,2021-05-27 09:30:36
26,3dbff1e7109e820ac35c70f4a2fed5ba6f4062be,chore(release): 11.0.12 [skip ci],semantic-release-bot,9,2,3,69b4b74e221a39f1cc8a80d7093314a10ebffb29,package.json,1,1,2,2021-05-27 09:30:36
27,3dbff1e7109e820ac35c70f4a2fed5ba6f4062be,chore(release): 11.0.12 [skip ci],semantic-release-bot,9,2,3,764aba287122bf38eefe61c696af6fdb4c52fbf1,src/SweetAlert.js,1,1,2,2021-05-27 09:30:36
28,3cf86082fde05db742e66648679126477c530931,fix: show loading while waiting for inputValue promise (#2260),Limon Monte,5,2,1,f894845a2a34db6e341210524ab24641c67525c7,src/utils/dom/inputUtils.js,5,2,7,2021-05-27 09:24:04
29,d89a6db3c3abc13da25f0366ed8850d35782ec93,chore: remove deprecated slash division,Limon Monte,4,2,1,3b8be7889de9ac6443241667362ab54049265ac6,src/scss/_core.scss,4,2,6,2021-05-26 13:45:57
30,53c5e6a195cf4016ff6e8c3a6e12ce718d2c5693,Update all Yarn dependencies (2021-05-24) (#2259),depfu[bot],223,118,2,a596c15429256a863c42d0ad420ef08036c9748c,package.json,7,7,14,2021-05-24 07:22:30
31,53c5e6a195cf4016ff6e8c3a6e12ce718d2c5693,Update all Yarn dependencies (2021-05-24) (#2259),depfu[bot],223,118,2,cc9ae5c57f855660ce0a784b299f62dbc9682c15,yarn.lock,216,111,327,2021-05-24 07:22:30
32,b5f51933e4bd95038ff01edc8376e10b947cc87a,chore(release): 11.0.11 [skip ci],semantic-release-bot,9,2,3,60711f6fa0eee93b2e82473ac752ae451840f5a0,CHANGELOG.md,7,0,7,2021-05-23 10:33:58
33,b5f51933e4bd95038ff01edc8376e10b947cc87a,chore(release): 11.0.11 [skip ci],semantic-release-bot,9,2,3,0478287c1fa57fbc72d40a1d57c1a33d6b1a6d54,package.json,1,1,2,2021-05-23 10:33:58
34,b5f51933e4bd95038ff01edc8376e10b947cc87a,chore(release): 11.0.11 [skip ci],semantic-release-bot,9,2,3,231c0db8e6968e175bcbe59d68d0e87a51998aed,src/SweetAlert.js,1,1,2,2021-05-23 10:33:58
