,SHA,title,committer,date,commit additions,commit deletions,files changed,file sha,filename,file additions,file deletions,file changes
0,d42280b16cb466a608e7e723d8edfbe5977253b6,"Docs: remove ""video"" from support data types (#3410)",Toby Roseman,2021-06-14 17:53:17,1,1,1,9660b7b67ee5dca05b961f9f48a67141ba63e11a,src/python/doc/source/index.rst,1,1,2
1,8896becacde63dd1f27db6d18e8a4025e9b9c50c,"cmake version 3.20 does not support the ""--config"" switch. (#3398)",Richard Schilling,2021-03-31 19:36:36,2,2,1,d29fa9d30848e7383ff0bf2938f32d7de1cc3d67,configure,2,2,4
2,f800460c3ee791d09005f4412412952734810223,Fix CEF URL (#3384),Toby Roseman,2021-02-02 21:52:07,1,1,1,4b21fd365dfc1f619a9a24829e400a32c38ec035,src/visualization/client/CMakeLists.txt,1,1,2
3,a89e203d60529d2d72547c03ec9753ea979ee342,Drawing Classifier: print progress at round increments (#3353),Toby Roseman,2020-10-13 23:52:18,4,4,1,a2efaee30f4c12fde29d5d84576e5dc5094e4963,src/toolkits/drawing_classifier/drawing_classifier.cpp,4,4,8
4,269730670de0d674e921344432abf6f7dfe3c48c,More Documentation Updates (#3350),Toby Roseman,2020-10-09 17:56:10,14,28,6,ccd7b25efba9af1d284bce9c1e16c4a11b9fd3c3,src/python/doc/source/turicreate.utils.rst,2,14,16
5,269730670de0d674e921344432abf6f7dfe3c48c,More Documentation Updates (#3350),Toby Roseman,2020-10-09 17:56:10,14,28,6,90d2d61761918e99a819cc21c7ee74890934c7cb,src/python/doc/source/turicreate.visualization.rst,1,0,1
6,269730670de0d674e921344432abf6f7dfe3c48c,More Documentation Updates (#3350),Toby Roseman,2020-10-09 17:56:10,14,28,6,31a6b2d9a0f6eefd9cda705404cb3fec6e3a1358,src/python/turicreate/config/__init__.py,7,10,17
7,269730670de0d674e921344432abf6f7dfe3c48c,More Documentation Updates (#3350),Toby Roseman,2020-10-09 17:56:10,14,28,6,d3f56ceb5490c59899d2eeacb8d6c085a6a164de,src/python/turicreate/test/test_logger.py,1,1,2
8,269730670de0d674e921344432abf6f7dfe3c48c,More Documentation Updates (#3350),Toby Roseman,2020-10-09 17:56:10,14,28,6,a24ac65fb1397df3ab65c72effd65c9cee739199,src/python/turicreate/util/__init__.py,2,2,4
9,269730670de0d674e921344432abf6f7dfe3c48c,More Documentation Updates (#3350),Toby Roseman,2020-10-09 17:56:10,14,28,6,63640fb665bfd27979f52701003e696cccd015ad,src/python/turicreate/version_info.py,1,1,2
10,35655da66e23a1db2d6f35f56f410a25d1f085c6,Text Classifier Documentation Update (#3348),Toby Roseman,2020-10-09 17:44:06,24,3,2,3589cbbc59d836491b1ace2551de06493df5ea6a,src/python/turicreate/toolkits/text_classifier/_text_classifier.py,10,1,11
11,35655da66e23a1db2d6f35f56f410a25d1f085c6,Text Classifier Documentation Update (#3348),Toby Roseman,2020-10-09 17:44:06,24,3,2,2dbbb472a3279934077a80cf0b6e5f38f59f56d6,userguide/text_classifier/README.md,14,2,16
12,25631cced612d3c4b97adcbcd47717b6354e779a,Use new coremltools beta (#3346),Toby Roseman,2020-10-09 17:43:37,19,29,3,9ad5acc4c17e17c311ed2407bbb052189266d76a,.gitlab-ci.yml,17,21,38
13,25631cced612d3c4b97adcbcd47717b6354e779a,Use new coremltools beta (#3346),Toby Roseman,2020-10-09 17:43:37,19,29,3,1f5135ab43210011bdf8e0ed1df7d6ee55600477,scripts/requirements.txt,1,2,3
14,25631cced612d3c4b97adcbcd47717b6354e779a,Use new coremltools beta (#3346),Toby Roseman,2020-10-09 17:43:37,19,29,3,04cd226b72fe4de09cc3bb711771f417dea03dbc,src/python/setup.py,1,6,7
15,69af7c58f3748933d976c897e1feecb761f170a2,Link tc.image_analysis.get_deep_feature and fix up doc strings (#3345),Toby Roseman,2020-10-09 17:43:18,8,4,2,366d0c75aaf8967cd12dec36998d4761ff5d6a98,src/python/doc/source/turicreate.toolkits.image_analysis.rst,1,0,1
16,69af7c58f3748933d976c897e1feecb761f170a2,Link tc.image_analysis.get_deep_feature and fix up doc strings (#3345),Toby Roseman,2020-10-09 17:43:18,8,4,2,b839d67c35a26bf4520f999d1de3bef39cbfb058,src/python/turicreate/toolkits/image_analysis/image_analysis.py,7,4,11
17,927aac2635e4ac48b9521c1c5f381400e3e1ffd9,More Doc Updates (#3351),Toby Roseman,2020-10-09 17:43:00,9,6,4,f59145f8b0736f1eec934f30169dc4ab0475ae3f,src/python/doc/source/turicreate.utils.rst,1,0,1
18,927aac2635e4ac48b9521c1c5f381400e3e1ffd9,More Doc Updates (#3351),Toby Roseman,2020-10-09 17:43:00,9,6,4,61d5ef850e9f96258aa3c6ac07365aed0b1e1f9b,src/python/turicreate/config/__init__.py,3,2,5
19,927aac2635e4ac48b9521c1c5f381400e3e1ffd9,More Doc Updates (#3351),Toby Roseman,2020-10-09 17:43:00,9,6,4,dd23cf286997351d486b66cc3160ef5225f7e64d,src/python/turicreate/test/test_boosted_trees.py,4,3,7
20,927aac2635e4ac48b9521c1c5f381400e3e1ffd9,More Doc Updates (#3351),Toby Roseman,2020-10-09 17:43:00,9,6,4,cda72ece350997bc81b3d11d904b2def6a9bdc62,src/python/turicreate/toolkits/classifier/boosted_trees_classifier.py,1,1,2
21,36ae659a4c2718bb68351491686138d198bd75d5,Fix lambda worker diagnostic (#3349),Toby Roseman,2020-10-05 22:12:58,6,35,1,903d12cdcec02093734f0ac416d2d143e01f5911,src/python/turicreate/_sys_util.py,6,35,41
22,a3d087f531b70ed66d5ed5007b2c639674a149f2,Drawing Classifier: input image resize fix (#3336),Toby Roseman,2020-10-02 19:47:35,3,4,1,857763395dc72ed62cc82f043a550ae76a41e061,src/toolkits/drawing_classifier/dc_data_iterator.cpp,3,4,7
23,a918b2d76c165f62c19895465b6ec443d7ada9fd,Fixed typo in skipif. (#3334),Hoyt Koepke,2020-09-29 22:20:30,1,1,1,80ce332e02a2bbbd30ccbcf508087834c56ff3a2,src/python/turicreate/test/test_sframe.py,1,1,2
24,c53dd6df18e898e4277f965ad06497bdca5856ea,Update to SFrame serialization to fix issues with python 2.7 and cloudpickle. (#3333),Hoyt Koepke,2020-09-29 21:41:59,12,3,2,efe6bcca3624dc7c171970d794d43e88970151f3,src/python/turicreate/data_structures/serialization.py,7,1,8
25,c53dd6df18e898e4277f965ad06497bdca5856ea,Update to SFrame serialization to fix issues with python 2.7 and cloudpickle. (#3333),Hoyt Koepke,2020-09-29 21:41:59,12,3,2,9b3633e4c3fef50ef0a2ab2cb53ff91beced83c9,src/python/turicreate/test/test_sframe.py,5,2,7
26,cf86bc50ae563f44f2b934920b945a3085f7ad9d,Added user-controlled sframe and sarray pickling functionality. (#3327),Hoyt Koepke,2020-09-28 23:35:08,120,1,5,d168ff1182679d1e6f5a510d9843c442859f7495,src/python/turicreate/_cython/cy_sframe.pyx,26,0,26
27,cf86bc50ae563f44f2b934920b945a3085f7ad9d,Added user-controlled sframe and sarray pickling functionality. (#3327),Hoyt Koepke,2020-09-28 23:35:08,120,1,5,88a0513d01a674a75f8b28851632f73db9ea90c1,src/python/turicreate/data_structures/__init__.py,3,1,4
28,cf86bc50ae563f44f2b934920b945a3085f7ad9d,Added user-controlled sframe and sarray pickling functionality. (#3327),Hoyt Koepke,2020-09-28 23:35:08,120,1,5,b580ee2eaaac51178fc02e24b293fbecb354af23,src/python/turicreate/data_structures/serialization.py,67,0,67
29,cf86bc50ae563f44f2b934920b945a3085f7ad9d,Added user-controlled sframe and sarray pickling functionality. (#3327),Hoyt Koepke,2020-09-28 23:35:08,120,1,5,ef706eb82405e80a6d0dc4be26696647b2ee3bb7,src/python/turicreate/test/test_sframe.py,23,0,23
30,cf86bc50ae563f44f2b934920b945a3085f7ad9d,Added user-controlled sframe and sarray pickling functionality. (#3327),Hoyt Koepke,2020-09-28 23:35:08,120,1,5,7b5ad403d7b7f28bcefadc489504b1a59d14a4c7,src/visualization/client/Turi Create Visualization.xcodeproj/project.pbxproj,1,0,1
31,72255a0e938c1eef0bc2ae1cdc9a0fd0b6b6ddd9,Bump version number (#3330),Toby Roseman,2020-09-28 21:14:02,3,3,3,ea8cabc496987ae7c40bcfa6cdf629b67d66a1cb,src/model_server/lib/version_number.hpp,1,1,2
32,72255a0e938c1eef0bc2ae1cdc9a0fd0b6b6ddd9,Bump version number (#3330),Toby Roseman,2020-09-28 21:14:02,3,3,3,0dbd17b75ac5199f7722bfbe7804c5a30fef3182,src/python/setup.py,1,1,2
33,72255a0e938c1eef0bc2ae1cdc9a0fd0b6b6ddd9,Bump version number (#3330),Toby Roseman,2020-09-28 21:14:02,3,3,3,fe20cadc893435a2b519463742113428e4d9e37c,src/python/turicreate/version_info.py,1,1,2
34,b4531ddd49f53e8c30d55260419ceac84c94b423,Better error messages when using image deep feature (#3332),Toby Roseman,2020-09-28 21:13:47,4,4,3,ab8616db7106882458bc729b3e58849c95c81d16,src/python/turicreate/toolkits/image_analysis/image_analysis.py,1,1,2
35,b4531ddd49f53e8c30d55260419ceac84c94b423,Better error messages when using image deep feature (#3332),Toby Roseman,2020-09-28 21:13:47,4,4,3,ec98fea50cfee462a2a196d65ec84618e98901c1,src/python/turicreate/toolkits/image_classifier/image_classifier.py,1,1,2
36,b4531ddd49f53e8c30d55260419ceac84c94b423,Better error messages when using image deep feature (#3332),Toby Roseman,2020-09-28 21:13:47,4,4,3,4f29d2e61437d92e3d3f279c193ee624152afac0,src/python/turicreate/toolkits/image_similarity/image_similarity.py,2,2,4
37,b42478256fe64d966eed9416da3d0b07f402ad00,Remove tc.config.get_server_log_location() (#3329),Toby Roseman,2020-09-28 18:37:00,2,20,3,60fdfe3d3ec0864c45eaa3537dcf0d978d58e1dd,src/python/turicreate/config/__init__.py,0,18,18
38,b42478256fe64d966eed9416da3d0b07f402ad00,Remove tc.config.get_server_log_location() (#3329),Toby Roseman,2020-09-28 18:37:00,2,20,3,0bece576d031ccda2ace23f46316f1105afbaff9,src/python/turicreate/data_structures/image.py,1,1,2
