,SHA,title,committer,commit additions,commit deletions,files changed,file sha,filename,file additions,file deletions,file changes,date
0,4e1052f7e06da1ad66846c41df2be54452a2777b,Replace legacy handshakeverify extension with one that uses cowpatty. Commit by @samjanny.,George Chatzisofroniou,55,346,3,e8c1785d9fb9d95a62a5a16b14e32a4e9ffa0dfd,README.md,1,1,2,2021-04-22 03:50:36
1,4e1052f7e06da1ad66846c41df2be54452a2777b,Replace legacy handshakeverify extension with one that uses cowpatty. Commit by @samjanny.,George Chatzisofroniou,55,346,3,fc861a6a6840a860e5ea76bc198028295807d772,wifiphisher/extensions/handshakeverify.py,52,344,396,2021-04-22 03:50:36
2,4e1052f7e06da1ad66846c41df2be54452a2777b,Replace legacy handshakeverify extension with one that uses cowpatty. Commit by @samjanny.,George Chatzisofroniou,55,346,3,d387a65c5a23400f7e5645e0e34088a21db63997,wifiphisher/pywifiphisher.py,2,1,3,2021-04-22 03:50:36
3,d83e309d641ef3ecde5ce5b76696c81029bf2a27,Revert #751. Route is needed for dnsmasq,George Chatzisofroniou,4,0,1,ceda81ecf63cb6a09268bd4dd905a66a50b1acd2,wifiphisher/common/accesspoint.py,4,0,4,2021-04-15 02:34:16
4,f0be7838b5c39855aa7a1f6b70566e69ad2f4334,Bypass nl80211 errors for internetinterfaces (#1344),Manos Fokas,29,25,3,b07cecfd994ae1a580617ea5aaf72e9c06e4e4d5,wifiphisher/common/interfaces.py,16,22,38,2020-06-11 17:03:18
5,f0be7838b5c39855aa7a1f6b70566e69ad2f4334,Bypass nl80211 errors for internetinterfaces (#1344),Manos Fokas,29,25,3,e30919ca3c169977ef0ce112f1ec4fb8051b9c43,wifiphisher/common/opmode.py,2,1,3,2020-06-11 17:03:18
6,f0be7838b5c39855aa7a1f6b70566e69ad2f4334,Bypass nl80211 errors for internetinterfaces (#1344),Manos Fokas,29,25,3,2d7c1bd38969742b5de91543910cb93b62948451,wifiphisher/pywifiphisher.py,11,2,13,2020-06-11 17:03:18
7,809174109b1f728346dcc2f3c3bb4ff549617f7a,Merge pull request #1293 from manosf/master,George Chatzisofroniou,30,1,3,d22f3b49e2e77120b2fbf559b1d2f163dace17c1,README.md,1,0,1,2020-04-25 18:51:45
8,809174109b1f728346dcc2f3c3bb4ff549617f7a,Merge pull request #1293 from manosf/master,George Chatzisofroniou,30,1,3,fa1c4f9f92f729d36357b6f584761914cb8965b9,wifiphisher/common/interfaces.py,19,1,20,2020-04-25 18:51:45
9,809174109b1f728346dcc2f3c3bb4ff549617f7a,Merge pull request #1293 from manosf/master,George Chatzisofroniou,30,1,3,d53dafe709d62dae7b69e657a10d59e7c4385aee,wifiphisher/pywifiphisher.py,10,0,10,2020-04-25 18:51:45
10,a682a6be540b1fa4af95e24ad0ed7d75b3b98324,Merge pull request #1299 from nios34/master,George Chatzisofroniou,1,2,1,e32c706309b4ab7e4031932a9f0b89b147bf5d7d,setup.py,1,2,3,2020-04-20 15:53:49
11,28f5669f9bfba4c6042d64950643691ca0021b47,Implement protectInterface,manosf,30,1,3,d22f3b49e2e77120b2fbf559b1d2f163dace17c1,README.md,1,0,1,2020-04-14 21:57:58
12,28f5669f9bfba4c6042d64950643691ca0021b47,Implement protectInterface,manosf,30,1,3,fa1c4f9f92f729d36357b6f584761914cb8965b9,wifiphisher/common/interfaces.py,19,1,20,2020-04-14 21:57:58
13,28f5669f9bfba4c6042d64950643691ca0021b47,Implement protectInterface,manosf,30,1,3,d53dafe709d62dae7b69e657a10d59e7c4385aee,wifiphisher/pywifiphisher.py,10,0,10,2020-04-14 21:57:58
14,2bd0751f969e49396a7cd528e648713e585ecc46,Deleted some unrelated comments,{“text”：“json”},0,1,1,e32c706309b4ab7e4031932a9f0b89b147bf5d7d,setup.py,0,1,1,2020-04-14 15:41:28
15,d9b509bf15acf4ad238508ad6a656f5097126c9b,Fix INSTALL_REQUIRES [tornado],{“text”：“json”},1,1,1,7860ab4496534d22fb24fae18682bba94f754c7b,setup.py,1,1,2,2020-04-14 15:36:55
16,2481ba8a197ea507d64c0a5335582be3972f4719,Merge pull request #1234 from p91/master,George Chatzisofroniou,4,0,1,a42843e54fbfcc7b95e521432cc9c7d4fec2e1d1,wifiphisher/common/phishinghttp.py,4,0,4,2020-04-13 02:01:31
17,306ae515712081e39eb2f681ab5bfa0e3dbaea24,Merge pull request #1281 from OmPrakash95/master,George Chatzisofroniou,1,1,1,bb5c741bc235b857345f4739c9367180fd45c72e,wifiphisher/common/phishingpage.py,1,1,2,2020-04-13 01:15:27
18,95a1232c01fa810e7205fbecd2fd6b961235ca4f,Fixes #1232: Causing config.ini become empty file,Om Prakash Shanmugam,1,1,1,bb5c741bc235b857345f4739c9367180fd45c72e,wifiphisher/common/phishingpage.py,1,1,2,2020-03-11 13:25:19
19,f3f5c970fa4d706307ccb177a9c8627ec243bdf6,Added hotfix for 3.8 due to changed Thread Creation Policy,Frederik Lauber,4,0,1,a42843e54fbfcc7b95e521432cc9c7d4fec2e1d1,wifiphisher/common/phishinghttp.py,4,0,4,2019-12-22 23:10:28
20,46bdf134d838bb33e1272c598a67c8cf085c5d8d,Setup script now checks for dependencies of roguehostapd.,George Chatzisofroniou,94,32,1,7851c18304e5cc6273b26720ffe9cab82157ae80,setup.py,94,32,126,2019-12-15 07:02:47
21,093d7105b097f2156cc4adaf6dd7c9970cef31aa,"Removed tox, run tests with travis.",George Chatzisofroniou,2,36,2,075a31a6e7f0251ab8badae878fd0a0d4b4a0500,.travis.yml,2,12,14,2019-12-13 05:11:17
22,093d7105b097f2156cc4adaf6dd7c9970cef31aa,"Removed tox, run tests with travis.",George Chatzisofroniou,2,36,2,274b1d2eb1da43a5d9c35a2a31f9c2d0ba390ecd,tox.ini,0,24,24,2019-12-13 05:11:17
23,583373465c5030fc4fec350d20a9fa29a620c835,Enforce the use of Python 3.,George Chatzisofroniou,11,3,2,cd2c71c8dc127fe3a35c0843c409c78a2585c74a,bin/wifiphisher,8,1,9,2019-12-13 04:12:36
24,583373465c5030fc4fec350d20a9fa29a620c835,Enforce the use of Python 3.,George Chatzisofroniou,11,3,2,f320f29b4e5010bccdda768828f44db26c8f2aac,setup.py,3,2,5,2019-12-13 04:12:36
25,6807a6fb9ecd34c30f852434779313a93d064027,Fix broken test.,George Chatzisofroniou,4,4,1,362b6f421a05f419df2be7babb165ed79ed0d64f,tests/test_lure10.py,4,4,8,2019-12-11 05:24:44
26,4b310400fa17aedbb56bcc90ccd306ab76903395,Updated travis conf.,George Chatzisofroniou,3,8,2,f9a138c805773335dfc54f058979aaec4c2342f2,.travis.yml,2,7,9,2019-12-11 04:55:19
27,4b310400fa17aedbb56bcc90ccd306ab76903395,Updated travis conf.,George Chatzisofroniou,3,8,2,7446fb45339ddf7bc6a198cc07ba15aee943079b,README.md,1,1,2,2019-12-11 04:55:19
28,7dc0bc229949c9f83e248d18a0b5122bbb1a1e7b,Use the old PyRIC version for now.,George Chatzisofroniou,1,1,1,fe881f18a610f7b0607cfe5c9c7812520ccc0575,setup.py,1,1,2,2019-12-10 05:39:32
29,75e2345994bdfe00491cb75c24119d50ea77e6f5,"Prefer Github versions for dependencies, not PyPi.",George Chatzisofroniou,3,3,1,117b781555acd023fcedc0ee97ae2f0ee61d095c,setup.py,3,3,6,2019-12-10 04:11:26
30,44d60d1cccd6dfb260d470a4e9b5a6048fb5d417,Python3 port.,George Chatzisofroniou,57,52,18,25c18fb3fb2f387d1e9f14cbed1289de413a0be0,bin/wifiphisher,1,1,2,2019-12-10 04:09:10
31,44d60d1cccd6dfb260d470a4e9b5a6048fb5d417,Python3 port.,George Chatzisofroniou,57,52,18,bcb9d3a6e704bcbc091c6ff85d24c8269992fff6,docs/conf.py,10,10,20,2019-12-10 04:09:10
32,44d60d1cccd6dfb260d470a4e9b5a6048fb5d417,Python3 port.,George Chatzisofroniou,57,52,18,dcc1097bb9fad815b13f4d2bddb837ca8248ef93,tests/test_lure10.py,4,4,8,2019-12-10 04:09:10
33,44d60d1cccd6dfb260d470a4e9b5a6048fb5d417,Python3 port.,George Chatzisofroniou,57,52,18,a0c1e4d5d860b39f5f0d08004d75ad4c925636c0,wifiphisher/common/accesspoint.py,1,2,3,2019-12-10 04:09:10
34,44d60d1cccd6dfb260d470a4e9b5a6048fb5d417,Python3 port.,George Chatzisofroniou,57,52,18,55464908b8be186764989bd56e74922e2fa68c53,wifiphisher/common/constants.py,1,1,2,2019-12-10 04:09:10
35,44d60d1cccd6dfb260d470a4e9b5a6048fb5d417,Python3 port.,George Chatzisofroniou,57,52,18,74457f6753090d085e1e6cc8bf3f38536d250063,wifiphisher/common/extensions.py,1,1,2,2019-12-10 04:09:10
36,44d60d1cccd6dfb260d470a4e9b5a6048fb5d417,Python3 port.,George Chatzisofroniou,57,52,18,787b636ae1a2119885ad8058e60b7d91d1c12b19,wifiphisher/common/globals.py,2,2,4,2019-12-10 04:09:10
37,44d60d1cccd6dfb260d470a4e9b5a6048fb5d417,Python3 port.,George Chatzisofroniou,57,52,18,5cd129ce1f6465e0e1620a68224d3793a4855f46,wifiphisher/common/interfaces.py,4,4,8,2019-12-10 04:09:10
38,44d60d1cccd6dfb260d470a4e9b5a6048fb5d417,Python3 port.,George Chatzisofroniou,57,52,18,3028d31d5e48e817fc55bf0872caf6d70703dc4d,wifiphisher/common/opmode.py,2,2,4,2019-12-10 04:09:10
39,44d60d1cccd6dfb260d470a4e9b5a6048fb5d417,Python3 port.,George Chatzisofroniou,57,52,18,1025796c46ee5a74baeaa8d188dd203f100f67dd,wifiphisher/common/phishingpage.py,3,3,6,2019-12-10 04:09:10
