,ID,Name,LongName,Parent,McCC,CLOC,LLOC,Number of previous fixes,Number of committers,Number of previous modifications,Number of developer commits,Number of bugs
0,L119,AdminCatalogService.java,admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/AdminCatalogService.java,L118,1,0,5,0,2,5,219,0
1,L120,AdminCatalogServiceImpl.java,admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/AdminCatalogServiceImpl.java,L118,17,0,137,0,5,12,1464,0
2,L1896,AdminProductTranslationExtensionHandler.java,admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/controller/AdminProductTranslationExtensionHandler.java,L1895,4,0,37,1,5,9,1464,0
3,L320,AdminCatalogServiceExtensionHandler.java,admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/extension/AdminCatalogServiceExtensionHandler.java,L319,1,0,11,0,2,4,1464,0
4,L321,AdminCatalogServiceExtensionManager.java,admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/extension/AdminCatalogServiceExtensionManager.java,L319,1,0,9,0,2,4,1464,0
5,L322,CategoryCustomPersistenceHandlerExtensionHandler.java,admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/extension/CategoryCustomPersistenceHandlerExtensionHandler.java,L319,1,0,10,0,1,1,2597,0
6,L323,CategoryCustomPersistenceHandlerExtensionManager.java,admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/extension/CategoryCustomPersistenceHandlerExtensionManager.java,L319,1,0,9,0,1,1,2597,0
7,L324,DefaultAdminCatalogExtensionHandler.java,admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/extension/DefaultAdminCatalogExtensionHandler.java,L319,5,0,48,0,3,8,1464,0
8,L325,ProductCustomPersistenceHandlerExtensionHandler.java,admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/extension/ProductCustomPersistenceHandlerExtensionHandler.java,L319,1,0,10,0,1,1,2597,0
9,L326,ProductCustomPersistenceHandlerExtensionManager.java,admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/extension/ProductCustomPersistenceHandlerExtensionManager.java,L319,1,0,9,0,1,1,2597,0
10,L434,CategoryCustomPersistenceHandler.java,admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/CategoryCustomPersistenceHandler.java,L433,26,0,163,1,8,38,2597,0
11,L435,ChildCategoriesCustomPersistenceHandler.java,admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/ChildCategoriesCustomPersistenceHandler.java,L433,6,0,52,0,7,24,219,0
12,L436,CustomerCustomPersistenceHandler.java,admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/CustomerCustomPersistenceHandler.java,L433,11,0,106,2,10,35,2597,0
13,L437,CustomerPasswordCustomPersistenceHandler.java,admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/CustomerPasswordCustomPersistenceHandler.java,L433,4,0,39,0,7,23,1283,0
14,L438,ISOCountryPersistenceHandler.java,admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/ISOCountryPersistenceHandler.java,L433,2,0,81,0,4,4,1283,0
15,L439,ProductCustomPersistenceHandler.java,admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/ProductCustomPersistenceHandler.java,L433,33,0,244,3,9,44,2597,0
16,L440,SkuBundleItemCustomPersistenceHandler.java,admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/SkuBundleItemCustomPersistenceHandler.java,L433,5,0,91,1,2,6,1464,0
17,L441,SkuCustomPersistenceHandler.java,admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/SkuCustomPersistenceHandler.java,L433,62,0,485,8,10,135,1464,0
18,L442,SkuCustomPersistenceHandlerExtensionHandler.java,admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/SkuCustomPersistenceHandlerExtensionHandler.java,L433,1,0,8,0,1,1,2597,0
19,L443,SkuCustomPersistenceHandlerExtensionManager.java,admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/SkuCustomPersistenceHandlerExtensionManager.java,L433,1,0,9,0,1,1,2597,0
20,L444,SkuRestrictionFactoryImpl.java,admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/SkuRestrictionFactoryImpl.java,L433,16,0,133,5,5,19,423,0
