,ID,Name,LongName,Parent,McCC,CLOC,LLOC,Number of previous fixes,Number of previous modifications,Number of committers,Number of developer commits,Number of bugs
0,L15999,Bar.java,tool/playground/Bar.java,L15998,5,0,9,0,4,2,1300,0
1,L16000,ExtractInheritance.java,tool/playground/ExtractInheritance.java,L15998,6,0,34,0,5,2,1300,0
2,L16001,Foo.java,tool/playground/Foo.java,L15998,14,0,14,0,5,2,1300,0
3,L16002,GenHierarchy.java,tool/playground/GenHierarchy.java,L15998,7,0,46,0,6,2,1843,0
4,L16003,TestA.java,tool/playground/TestA.java,L15998,3,0,22,0,18,2,1300,0
5,L16004,TestCSV.java,tool/playground/TestCSV.java,L15998,3,0,25,0,4,2,1300,0
6,L16005,TestE.java,tool/playground/TestE.java,L15998,2,0,10,0,5,1,1843,0
7,L16006,TestJava.java,tool/playground/TestJava.java,L15998,22,0,108,0,26,2,1300,0
8,L16007,TestJavaLR.java,tool/playground/TestJavaLR.java,L15998,37,0,185,0,39,2,1300,0
9,L16008,TestL.java,tool/playground/TestL.java,L15998,2,0,12,0,5,1,1843,0
10,L16009,TestR.java,tool/playground/TestR.java,L15998,1,0,13,0,9,2,1300,0
11,L16010,TestT.java,tool/playground/TestT.java,L15998,3,0,26,0,51,2,1300,0
12,L16011,TestU.java,tool/playground/TestU.java,L15998,1,0,10,0,17,2,1300,0
13,L16012,TestW.java,tool/playground/TestW.java,L15998,1,0,12,0,3,1,1843,0
14,L16013,TransformEType.java,tool/playground/TransformEType.java,L15998,3,0,25,0,1,1,1843,0
15,L116,Antlr4ErrorLog.java,antlr4-maven-plugin/src/main/java/org/antlr/mojo/antlr4/Antlr4ErrorLog.java,L115,1,0,23,0,9,2,1843,0
16,L117,Antlr4Mojo.java,antlr4-maven-plugin/src/main/java/org/antlr/mojo/antlr4/Antlr4Mojo.java,L115,39,0,268,1,45,2,1843,0
17,L472,Tool.java,tool/src/org/antlr/v4/Tool.java,L471,106,0,625,1,155,2,1300,0
18,L7088,AnalysisPipeline.java,tool/src/org/antlr/v4/analysis/AnalysisPipeline.java,L7087,12,0,73,0,46,2,1300,0
19,L7089,LeftRecursionDetector.java,tool/src/org/antlr/v4/analysis/LeftRecursionDetector.java,L7087,14,0,82,0,20,2,1843,0
20,L7090,LeftRecursiveRuleAltInfo.java,tool/src/org/antlr/v4/analysis/LeftRecursiveRuleAltInfo.java,L7087,1,0,25,0,8,2,1843,0
21,L7091,LeftRecursiveRuleAnalyzer.java,tool/src/org/antlr/v4/analysis/LeftRecursiveRuleAnalyzer.java,L7087,53,0,301,0,19,2,1300,0
22,L7092,LeftRecursiveRuleTransformer.java,tool/src/org/antlr/v4/analysis/LeftRecursiveRuleTransformer.java,L7087,17,0,155,1,32,2,1300,0
23,L7540,ATNFactory.java,tool/src/org/antlr/v4/automata/ATNFactory.java,L7539,1,0,49,0,18,2,1300,0
24,L7541,ATNOptimizer.java,tool/src/org/antlr/v4/automata/ATNOptimizer.java,L7539,22,0,110,0,11,2,1843,0
25,L7542,ATNPrinter.java,tool/src/org/antlr/v4/automata/ATNPrinter.java,L7539,25,0,99,0,16,2,1843,0
26,L7543,ATNSerializer.java,tool/src/org/antlr/v4/automata/ATNSerializer.java,L7539,59,0,295,0,54,2,1300,1
27,L7544,ATNVisitor.java,tool/src/org/antlr/v4/automata/ATNVisitor.java,L7539,3,0,22,0,7,2,1843,0
28,L7545,LexerATNFactory.java,tool/src/org/antlr/v4/automata/LexerATNFactory.java,L7539,23,0,223,1,38,2,1300,1
29,L7546,ParserATNFactory.java,tool/src/org/antlr/v4/automata/ParserATNFactory.java,L7539,56,0,501,0,72,2,1300,0
30,L7547,TailEpsilonRemover.java,tool/src/org/antlr/v4/automata/TailEpsilonRemover.java,L7539,12,0,40,0,7,2,1300,0
31,L8035,ActionTranslator.java,tool/src/org/antlr/v4/codegen/ActionTranslator.java,L8034,30,0,268,0,46,2,1300,0
32,L8036,BlankOutputModelFactory.java,tool/src/org/antlr/v4/codegen/BlankOutputModelFactory.java,L8034,1,0,67,0,22,2,1843,0
33,L8037,CodeGenerator.java,tool/src/org/antlr/v4/codegen/CodeGenerator.java,L8034,16,0,228,0,72,2,1300,0
34,L8038,CodeGeneratorExtension.java,tool/src/org/antlr/v4/codegen/CodeGeneratorExtension.java,L8034,1,0,37,0,23,1,1843,0
35,L8039,CodeGenPipeline.java,tool/src/org/antlr/v4/codegen/CodeGenPipeline.java,L8034,10,0,61,0,40,2,1300,0
36,L8040,DefaultOutputModelFactory.java,tool/src/org/antlr/v4/codegen/DefaultOutputModelFactory.java,L8034,4,0,69,0,30,2,1300,0
37,L8041,LexerFactory.java,tool/src/org/antlr/v4/codegen/LexerFactory.java,L8034,1,0,4,0,19,1,1843,0
38,L8042,OutputModelController.java,tool/src/org/antlr/v4/codegen/OutputModelController.java,L8034,40,0,360,0,66,2,1843,1
39,L8043,OutputModelFactory.java,tool/src/org/antlr/v4/codegen/OutputModelFactory.java,L8034,1,0,58,0,47,2,1843,0
40,L8044,OutputModelWalker.java,tool/src/org/antlr/v4/codegen/OutputModelWalker.java,L8034,18,0,97,0,24,2,1300,0
41,L8045,ParserFactory.java,tool/src/org/antlr/v4/codegen/ParserFactory.java,L8034,40,0,288,0,64,2,1300,0
42,L8046,Target.java,tool/src/org/antlr/v4/codegen/Target.java,L8034,55,0,279,0,57,2,1300,1
43,L8047,Wildcard.java,tool/src/org/antlr/v4/codegen/Wildcard.java,L8034,1,0,8,0,4,1,1843,0
44,L10730,CharSupport.java,tool/src/org/antlr/v4/misc/CharSupport.java,L10729,23,0,90,0,10,1,1843,0
45,L10731,FrequencySet.java,tool/src/org/antlr/v4/misc/FrequencySet.java,L10729,3,0,19,0,9,2,1843,0
