,ID,Name,LongName,Parent,McCC,CLOC,LLOC,Number of previous fixes,Number of committers,Number of previous modifications,Number of developer commits,Number of bugs
0,L113,Combat.java,src/main/java/com/gmail/nossr50/Combat.java,L112,113,0,319,0,1,1,43,3
1,L114,Database.java,src/main/java/com/gmail/nossr50/Database.java,L112,15,0,176,0,1,1,43,1
2,L115,Item.java,src/main/java/com/gmail/nossr50/Item.java,L112,20,0,83,0,1,1,43,0
3,L116,Leaderboard.java,src/main/java/com/gmail/nossr50/Leaderboard.java,L112,48,0,227,0,1,1,43,0
4,L117,m.java,src/main/java/com/gmail/nossr50/m.java,L112,178,0,461,0,1,1,43,0
5,L118,mcMMO.java,src/main/java/com/gmail/nossr50/mcMMO.java,L112,26,0,286,0,1,1,43,1
6,L119,mcPermissions.java,src/main/java/com/gmail/nossr50/mcPermissions.java,L112,47,0,324,0,1,1,43,0
7,L120,Users.java,src/main/java/com/gmail/nossr50/Users.java,L112,8,0,78,0,1,1,43,0
8,L988,LoadProperties.java,src/main/java/com/gmail/nossr50/config/LoadProperties.java,L987,7,0,523,0,1,1,43,0
9,L989,Misc.java,src/main/java/com/gmail/nossr50/config/Misc.java,L987,3,0,48,0,1,1,43,0
10,L1485,FakeBlockBreakEvent.java,src/main/java/com/gmail/nossr50/datatypes/FakeBlockBreakEvent.java,L1484,1,0,10,0,1,1,43,0
11,L1486,HUDmmo.java,src/main/java/com/gmail/nossr50/datatypes/HUDmmo.java,L1484,28,0,206,0,1,1,43,0
12,L1487,HUDType.java,src/main/java/com/gmail/nossr50/datatypes/HUDType.java,L1484,1,0,8,0,1,1,43,0
13,L1488,PlayerProfile.java,src/main/java/com/gmail/nossr50/datatypes/PlayerProfile.java,L1484,132,0,1072,0,1,1,43,0
14,L1489,PlayerStat.java,src/main/java/com/gmail/nossr50/datatypes/PlayerStat.java,L1484,1,0,6,0,1,1,43,0
15,L1490,SkillType.java,src/main/java/com/gmail/nossr50/datatypes/SkillType.java,L1484,1,0,19,0,1,1,43,0
16,L1491,Tree.java,src/main/java/com/gmail/nossr50/datatypes/Tree.java,L1484,3,0,29,0,1,1,43,0
17,L1492,TreeNode.java,src/main/java/com/gmail/nossr50/datatypes/TreeNode.java,L1484,7,0,36,0,1,1,43,0
18,L2178,mcBlockListener.java,src/main/java/com/gmail/nossr50/listeners/mcBlockListener.java,L2177,125,0,335,0,1,1,43,4
19,L2179,mcEntityListener.java,src/main/java/com/gmail/nossr50/listeners/mcEntityListener.java,L2177,41,0,149,0,1,1,43,1
20,L2180,mcPlayerListener.java,src/main/java/com/gmail/nossr50/listeners/mcPlayerListener.java,L2177,85,0,289,0,1,1,43,0
21,L2181,mcSpoutInputListener.java,src/main/java/com/gmail/nossr50/listeners/mcSpoutInputListener.java,L2177,6,0,38,0,1,1,43,0
22,L2182,mcSpoutListener.java,src/main/java/com/gmail/nossr50/listeners/mcSpoutListener.java,L2177,2,0,25,0,1,1,43,0
23,L2183,mcSpoutScreenListener.java,src/main/java/com/gmail/nossr50/listeners/mcSpoutScreenListener.java,L2177,10,0,69,0,1,1,43,0
