,ID,Name,LongName,Parent,McCC,CLOC,LLOC,Number of committers,Number of developer commits,Number of previous modifications,Number of previous fixes,Number of bugs
0,L118,CanvasActivator.java,canvas/src/main/java/gov/nasa/arc/mct/canvas/CanvasActivator.java,L117,1,0,32,0,0,1,0,0
1,L119,ComponentRegistryAccess.java,canvas/src/main/java/gov/nasa/arc/mct/canvas/ComponentRegistryAccess.java,L117,1,0,16,0,0,1,0,0
2,L120,MenuManagerAccess.java,canvas/src/main/java/gov/nasa/arc/mct/canvas/MenuManagerAccess.java,L117,1,0,15,0,0,1,0,0
3,L121,PolicyManagerAccess.java,canvas/src/main/java/gov/nasa/arc/mct/canvas/PolicyManagerAccess.java,L117,1,0,15,0,0,1,0,0
4,L14480,AbstractBorderAction.java,canvas/src/main/java/gov/nasa/arc/mct/menu/AbstractBorderAction.java,L14479,5,0,57,0,0,1,0,0
5,L14481,AlignBottomAction.java,canvas/src/main/java/gov/nasa/arc/mct/menu/AlignBottomAction.java,L14479,1,0,37,0,0,1,0,0
6,L14482,AlignHorizontalCenterAction.java,canvas/src/main/java/gov/nasa/arc/mct/menu/AlignHorizontalCenterAction.java,L14479,1,0,37,0,0,1,0,0
7,L14483,AlignLeftAction.java,canvas/src/main/java/gov/nasa/arc/mct/menu/AlignLeftAction.java,L14479,1,0,37,0,0,1,0,0
8,L14484,AlignmentMenu.java,canvas/src/main/java/gov/nasa/arc/mct/menu/AlignmentMenu.java,L14479,1,0,39,0,0,1,0,0
9,L14485,AlignRightAction.java,canvas/src/main/java/gov/nasa/arc/mct/menu/AlignRightAction.java,L14479,1,0,37,0,0,1,0,0
10,L14486,AlignTopAction.java,canvas/src/main/java/gov/nasa/arc/mct/menu/AlignTopAction.java,L14479,1,0,37,0,0,1,0,0
11,L14487,AlignVerticalCenterAction.java,canvas/src/main/java/gov/nasa/arc/mct/menu/AlignVerticalCenterAction.java,L14479,1,0,37,0,0,1,0,0
12,L14488,BordersAllOrNoneAction.java,canvas/src/main/java/gov/nasa/arc/mct/menu/BordersAllOrNoneAction.java,L14479,11,0,119,0,0,1,0,0
13,L14489,BordersBottomAction.java,canvas/src/main/java/gov/nasa/arc/mct/menu/BordersBottomAction.java,L14479,1,0,20,0,0,1,0,0
14,L14490,BordersLeftAction.java,canvas/src/main/java/gov/nasa/arc/mct/menu/BordersLeftAction.java,L14479,1,0,20,0,0,1,0,0
15,L14491,BordersMenu.java,canvas/src/main/java/gov/nasa/arc/mct/menu/BordersMenu.java,L14479,1,0,34,0,0,1,0,0
16,L14492,BordersRightAction.java,canvas/src/main/java/gov/nasa/arc/mct/menu/BordersRightAction.java,L14479,1,0,20,0,0,1,0,0
17,L14493,BordersTopAction.java,canvas/src/main/java/gov/nasa/arc/mct/menu/BordersTopAction.java,L14479,1,0,20,0,0,1,0,0
18,L14494,BorderStylesAction.java,canvas/src/main/java/gov/nasa/arc/mct/menu/BorderStylesAction.java,L14479,5,0,92,0,0,1,0,0
19,L14495,BorderStylesMenu.java,canvas/src/main/java/gov/nasa/arc/mct/menu/BorderStylesMenu.java,L14479,1,0,28,0,0,1,0,0
20,L14496,BringToFrontAction.java,canvas/src/main/java/gov/nasa/arc/mct/menu/BringToFrontAction.java,L14479,2,0,39,0,0,1,0,0
21,L14497,ChangeViewAction.java,canvas/src/main/java/gov/nasa/arc/mct/menu/ChangeViewAction.java,L14479,9,0,102,0,0,1,0,0
22,L14498,GridMenu.java,canvas/src/main/java/gov/nasa/arc/mct/menu/GridMenu.java,L14479,1,0,30,0,0,1,0,0
23,L14499,MenuUtil.java,canvas/src/main/java/gov/nasa/arc/mct/menu/MenuUtil.java,L14479,13,0,58,0,0,1,0,0
24,L14500,PanelTitleBarAction.java,canvas/src/main/java/gov/nasa/arc/mct/menu/PanelTitleBarAction.java,L14479,6,0,53,0,0,1,0,0
25,L14501,RemovePanelAction.java,canvas/src/main/java/gov/nasa/arc/mct/menu/RemovePanelAction.java,L14479,2,0,37,0,0,1,0,0
26,L14502,SelectAllAction.java,canvas/src/main/java/gov/nasa/arc/mct/menu/SelectAllAction.java,L14479,3,0,37,0,0,1,0,0
