,ID,Name,LongName,Parent,McCC,CLOC,LLOC,Number of previous modifications,Number of previous fixes,Number of committers,Number of developer commits,Number of bugs
0,L117,CypherParser.java,community/cypher/src/main/java/org/neo4j/cypher/javacompat/CypherParser.java,L116,1,0,22,25,0,10,1634,0
1,L118,ExecutionEngine.java,community/cypher/src/main/java/org/neo4j/cypher/javacompat/ExecutionEngine.java,L116,1,0,31,28,0,9,54,0
2,L119,ExecutionResult.java,community/cypher/src/main/java/org/neo4j/cypher/javacompat/ExecutionResult.java,L116,1,0,35,20,0,8,54,0
3,L120,package-info.java,community/cypher/src/main/java/org/neo4j/cypher/javacompat/package-info.java,L116,1,0,1,3,0,2,54,0
4,L127,GraphImpl.java,community/cypher/src/test/java/org/neo4j/cypher/javacompat/GraphImpl.java,L126,1,0,41,6,0,6,54,0
5,L128,IntroExamplesTest.java,community/cypher/src/test/java/org/neo4j/cypher/javacompat/IntroExamplesTest.java,L126,2,0,93,22,0,10,5350,0
6,L129,JavaExecutionEngineTests.java,community/cypher/src/test/java/org/neo4j/cypher/javacompat/JavaExecutionEngineTests.java,L126,3,0,169,58,0,13,5350,0
7,L130,JavaQuery.java,community/cypher/src/test/java/org/neo4j/cypher/javacompat/JavaQuery.java,L126,4,0,62,10,0,5,5350,0
8,L131,JavaQueryTest.java,community/cypher/src/test/java/org/neo4j/cypher/javacompat/JavaQueryTest.java,L126,1,0,32,11,0,5,505,0
9,L132,RegularExpressionMatcher.java,community/cypher/src/test/java/org/neo4j/cypher/javacompat/RegularExpressionMatcher.java,L126,1,0,31,4,0,4,54,0
10,L582,CalculateShortestPath.java,community/embedded-examples/src/main/java/org/neo4j/examples/CalculateShortestPath.java,L581,6,0,96,4,0,3,5350,0
11,L583,EmbeddedNeo4j.java,community/embedded-examples/src/main/java/org/neo4j/examples/EmbeddedNeo4j.java,L581,2,0,101,11,0,4,5350,0
12,L584,EmbeddedNeo4jWithIndexing.java,community/embedded-examples/src/main/java/org/neo4j/examples/EmbeddedNeo4jWithIndexing.java,L581,3,0,91,10,0,6,5350,0
13,L585,Matrix.java,community/embedded-examples/src/main/java/org/neo4j/examples/Matrix.java,L581,7,0,181,7,0,5,5350,0
14,L586,Neo4jShell.java,community/embedded-examples/src/main/java/org/neo4j/examples/Neo4jShell.java,L581,9,0,180,11,0,5,5350,0
15,L587,NewMatrix.java,community/embedded-examples/src/main/java/org/neo4j/examples/NewMatrix.java,L581,6,0,175,5,0,3,5350,0
16,L588,TraversalExample.java,community/embedded-examples/src/main/java/org/neo4j/examples/TraversalExample.java,L581,7,0,89,2,0,2,54,0
17,L1129,OrderedPath.java,community/embedded-examples/src/main/java/org/neo4j/examples/orderedpath/OrderedPath.java,L1128,7,0,133,6,0,3,505,0
18,L1243,FriendsStatusUpdateIterator.java,community/embedded-examples/src/main/java/org/neo4j/examples/socnet/FriendsStatusUpdateIterator.java,L1242,5,0,58,5,0,4,1634,0
19,L1244,Person.java,community/embedded-examples/src/main/java/org/neo4j/examples/socnet/Person.java,L1242,14,0,293,5,0,4,1634,0
20,L1245,PersonRepository.java,community/embedded-examples/src/main/java/org/neo4j/examples/socnet/PersonRepository.java,L1242,7,0,120,1,0,1,3997,0
21,L1246,RelTypes.java,community/embedded-examples/src/main/java/org/neo4j/examples/socnet/RelTypes.java,L1242,1,0,10,1,0,1,3997,0
22,L1247,StatusUpdate.java,community/embedded-examples/src/main/java/org/neo4j/examples/socnet/StatusUpdate.java,L1242,1,0,47,5,0,4,1634,0
23,L594,AbstractJavaDocTestbase.java,community/embedded-examples/src/test/java/org/neo4j/examples/AbstractJavaDocTestbase.java,L593,2,0,59,18,0,8,5350,0
24,L595,AclExampleTest.java,community/embedded-examples/src/test/java/org/neo4j/examples/AclExampleTest.java,L593,1,0,71,25,0,8,1634,0
25,L596,DocumentationTest.java,community/embedded-examples/src/test/java/org/neo4j/examples/DocumentationTest.java,L593,1,0,28,11,0,6,5350,0
26,L597,EmbeddedNeo4jTest.java,community/embedded-examples/src/test/java/org/neo4j/examples/EmbeddedNeo4jTest.java,L593,1,0,31,6,0,5,54,0
27,L598,GetOrCreateTest.java,community/embedded-examples/src/test/java/org/neo4j/examples/GetOrCreateTest.java,L593,11,0,170,3,0,3,5350,0
28,L599,JmxTest.java,community/embedded-examples/src/test/java/org/neo4j/examples/JmxTest.java,L593,2,0,39,13,0,5,5350,0
29,L600,MatrixTest.java,community/embedded-examples/src/test/java/org/neo4j/examples/MatrixTest.java,L593,1,0,49,13,0,5,505,0
30,L601,Neo4jBasicTest.java,community/embedded-examples/src/test/java/org/neo4j/examples/Neo4jBasicTest.java,L593,2,0,61,20,0,8,5350,0
31,L602,PathFindingExamplesTest.java,community/embedded-examples/src/test/java/org/neo4j/examples/PathFindingExamplesTest.java,L593,7,0,174,9,0,5,5350,0
32,L603,RolesTest.java,community/embedded-examples/src/test/java/org/neo4j/examples/RolesTest.java,L593,3,0,143,38,0,9,1634,0
33,L604,StartWithConfiguration.java,community/embedded-examples/src/test/java/org/neo4j/examples/StartWithConfiguration.java,L593,1,0,19,4,0,4,5350,0
34,L605,TraversalTest.java,community/embedded-examples/src/test/java/org/neo4j/examples/TraversalTest.java,L593,1,0,53,9,0,6,5350,0
35,L606,UniquenessOfPathsTest.java,community/embedded-examples/src/test/java/org/neo4j/examples/UniquenessOfPathsTest.java,L593,4,0,70,15,0,8,5350,0
36,L1131,OrderedPathTest.java,community/embedded-examples/src/test/java/org/neo4j/examples/orderedpath/OrderedPathTest.java,L1130,2,0,53,17,0,10,505,0
37,L1249,SocnetTest.java,community/embedded-examples/src/test/java/org/neo4j/examples/socnet/SocnetTest.java,L1248,14,0,250,3,0,3,1296,0
38,L2138,CreateSimpleGraph.java,community/server-examples/src/main/java/org/neo4j/examples/server/CreateSimpleGraph.java,L2137,5,0,155,9,0,5,5350,0
39,L2139,Relationship.java,community/server-examples/src/main/java/org/neo4j/examples/server/Relationship.java,L2137,2,0,38,4,0,3,1126,0
40,L2140,TraversalDescription.java,community/server-examples/src/main/java/org/neo4j/examples/server/TraversalDescription.java,L2137,4,0,67,4,0,3,1126,0
41,L2240,DepthTwo.java,community/server-examples/src/main/java/org/neo4j/examples/server/plugins/DepthTwo.java,L2239,1,0,50,1,0,1,3997,0
42,L2241,GetAll.java,community/server-examples/src/main/java/org/neo4j/examples/server/plugins/GetAll.java,L2239,1,0,27,7,0,3,5350,0
43,L2242,ShortestPath.java,community/server-examples/src/main/java/org/neo4j/examples/server/plugins/ShortestPath.java,L2239,4,0,45,7,0,3,5350,0
44,L2370,HelloWorldResource.java,community/server-examples/src/main/java/org/neo4j/examples/server/unmanaged/HelloWorldResource.java,L2369,1,0,27,6,0,3,5350,0
45,L63465,AbstractTestBase.java,community/graph-algo/src/test/java/common/AbstractTestBase.java,L63464,15,0,240,7,0,4,54,0
46,L63466,CsvFileReader.java,community/graph-algo/src/test/java/common/CsvFileReader.java,L63464,6,0,59,4,0,2,54,0
47,L63467,GraphDefinition.java,community/graph-algo/src/test/java/common/GraphDefinition.java,L63464,1,0,7,4,0,2,54,0
48,L63468,GraphDescription.java,community/graph-algo/src/test/java/common/GraphDescription.java,L63464,7,0,90,4,0,2,54,0
49,L63469,Neo4jAlgoTestCase.java,community/graph-algo/src/test/java/common/Neo4jAlgoTestCase.java,L63464,13,0,144,15,0,7,54,0
50,L63470,SimpleGraphBuilder.java,community/graph-algo/src/test/java/common/SimpleGraphBuilder.java,L63464,19,0,197,4,0,2,54,0
51,L63471,StandardGraphs.java,community/graph-algo/src/test/java/common/StandardGraphs.java,L63464,1,0,86,4,0,2,54,0
52,L2392,CommonEvaluators.java,community/graph-algo/src/main/java/org/neo4j/graphalgo/CommonEvaluators.java,L2391,1,0,25,7,0,4,54,0
53,L2393,CostAccumulator.java,community/graph-algo/src/main/java/org/neo4j/graphalgo/CostAccumulator.java,L2391,1,0,5,4,0,2,54,0
54,L2394,CostEvaluator.java,community/graph-algo/src/main/java/org/neo4j/graphalgo/CostEvaluator.java,L2391,1,0,7,4,0,2,54,0
55,L2395,EstimateEvaluator.java,community/graph-algo/src/main/java/org/neo4j/graphalgo/EstimateEvaluator.java,L2391,1,0,6,4,0,2,54,0
56,L2396,GraphAlgoFactory.java,community/graph-algo/src/main/java/org/neo4j/graphalgo/GraphAlgoFactory.java,L2391,1,0,50,5,0,3,54,0
57,L2397,MaxCostEvaluator.java,community/graph-algo/src/main/java/org/neo4j/graphalgo/MaxCostEvaluator.java,L2391,1,0,5,4,0,2,54,0
58,L2398,package-info.java,community/graph-algo/src/main/java/org/neo4j/graphalgo/package-info.java,L2391,1,0,1,4,0,2,54,0
59,L2399,PathFinder.java,community/graph-algo/src/main/java/org/neo4j/graphalgo/PathFinder.java,L2391,1,0,8,4,0,2,54,0
60,L2400,WeightedPath.java,community/graph-algo/src/main/java/org/neo4j/graphalgo/WeightedPath.java,L2391,1,0,6,4,0,2,54,0
61,L2548,BetweennessCentrality.java,community/graph-algo/src/main/java/org/neo4j/graphalgo/impl/centrality/BetweennessCentrality.java,L2547,7,0,76,4,0,2,54,0
62,L2549,ClosenessCentrality.java,community/graph-algo/src/main/java/org/neo4j/graphalgo/impl/centrality/ClosenessCentrality.java,L2547,6,0,60,4,0,2,54,0
63,L2550,CostDivider.java,community/graph-algo/src/main/java/org/neo4j/graphalgo/impl/centrality/CostDivider.java,L2547,1,0,7,4,0,2,54,0
64,L2551,Eccentricity.java,community/graph-algo/src/main/java/org/neo4j/graphalgo/impl/centrality/Eccentricity.java,L2547,7,0,54,4,0,2,54,0
