,ID,Name,LongName,Parent,McCC,CLOC,LLOC,Number of previous fixes,Number of previous modifications,Number of developer commits,Number of committers,Number of bugs
0,L114,AbstractByteBuf.java,buffer/src/main/java/io/netty/buffer/AbstractByteBuf.java,L113,80,0,947,11,75,1649,6,0
1,L115,AbstractByteBufAllocator.java,buffer/src/main/java/io/netty/buffer/AbstractByteBufAllocator.java,L113,27,0,186,2,15,1649,3,0
2,L116,AbstractDerivedByteBuf.java,buffer/src/main/java/io/netty/buffer/AbstractDerivedByteBuf.java,L113,3,0,56,1,9,1649,2,0
3,L117,AbstractReferenceCountedByteBuf.java,buffer/src/main/java/io/netty/buffer/AbstractReferenceCountedByteBuf.java,L113,19,0,105,2,15,4057,2,0
4,L118,AdvancedLeakAwareByteBuf.java,buffer/src/main/java/io/netty/buffer/AdvancedLeakAwareByteBuf.java,L113,4,0,602,0,8,105,2,0
5,L119,ByteBuf.java,buffer/src/main/java/io/netty/buffer/ByteBuf.java,L113,1,0,167,2,53,1649,6,0
6,L120,ByteBufAllocator.java,buffer/src/main/java/io/netty/buffer/ByteBufAllocator.java,L113,1,0,24,2,11,1649,2,0
7,L121,ByteBufHolder.java,buffer/src/main/java/io/netty/buffer/ByteBufHolder.java,L113,1,0,15,0,8,4057,2,0
8,L122,ByteBufInputStream.java,buffer/src/main/java/io/netty/buffer/ByteBufInputStream.java,L113,17,0,172,0,8,4057,3,0
9,L123,ByteBufOutputStream.java,buffer/src/main/java/io/netty/buffer/ByteBufOutputStream.java,L113,6,0,88,0,4,4057,2,0
10,L124,ByteBufProcessor.java,buffer/src/main/java/io/netty/buffer/ByteBufProcessor.java,L113,5,0,64,0,6,105,2,0
11,L125,ByteBufUtil.java,buffer/src/main/java/io/netty/buffer/ByteBufUtil.java,L113,86,0,585,2,28,1649,6,0
12,L126,CompositeByteBuf.java,buffer/src/main/java/io/netty/buffer/CompositeByteBuf.java,L113,148,0,1308,4,75,1649,8,0
13,L127,DefaultByteBufHolder.java,buffer/src/main/java/io/netty/buffer/DefaultByteBufHolder.java,L113,3,0,63,1,12,4057,2,0
14,L128,DuplicatedByteBuf.java,buffer/src/main/java/io/netty/buffer/DuplicatedByteBuf.java,L113,2,0,239,4,33,1649,5,0
15,L129,EmptyByteBuf.java,buffer/src/main/java/io/netty/buffer/EmptyByteBuf.java,L113,19,0,698,1,22,105,3,0
16,L130,FixedCompositeByteBuf.java,buffer/src/main/java/io/netty/buffer/FixedCompositeByteBuf.java,L113,43,0,481,0,2,4057,2,0
17,L131,package-info.java,buffer/src/main/java/io/netty/buffer/package-info.java,L113,1,0,1,0,11,4057,3,0
18,L132,PoolArena.java,buffer/src/main/java/io/netty/buffer/PoolArena.java,L113,64,0,553,3,28,1649,4,0
19,L133,PoolArenaMetric.java,buffer/src/main/java/io/netty/buffer/PoolArenaMetric.java,L113,1,0,25,0,1,1649,1,0
20,L134,PoolChunk.java,buffer/src/main/java/io/netty/buffer/PoolChunk.java,L113,24,0,247,1,15,1649,3,0
21,L135,PoolChunkList.java,buffer/src/main/java/io/netty/buffer/PoolChunkList.java,L113,19,0,128,0,5,1649,2,0
22,L136,PoolChunkListMetric.java,buffer/src/main/java/io/netty/buffer/PoolChunkListMetric.java,L113,1,0,5,0,1,1649,1,0
23,L137,PoolChunkMetric.java,buffer/src/main/java/io/netty/buffer/PoolChunkMetric.java,L113,1,0,6,0,1,1649,1,0
24,L138,PooledByteBuf.java,buffer/src/main/java/io/netty/buffer/PooledByteBuf.java,L113,11,0,128,2,27,1649,2,0
25,L139,PooledByteBufAllocator.java,buffer/src/main/java/io/netty/buffer/PooledByteBufAllocator.java,L113,17,0,268,3,22,1649,4,0
26,L140,PooledDirectByteBuf.java,buffer/src/main/java/io/netty/buffer/PooledDirectByteBuf.java,L113,16,0,307,4,16,4057,3,0
27,L141,PooledDuplicatedByteBuf.java,buffer/src/main/java/io/netty/buffer/PooledDuplicatedByteBuf.java,L113,1,0,32,0,1,1649,1,0
28,L142,PooledHeapByteBuf.java,buffer/src/main/java/io/netty/buffer/PooledHeapByteBuf.java,L113,7,0,249,4,17,1649,2,0
29,L143,PooledSlicedByteBuf.java,buffer/src/main/java/io/netty/buffer/PooledSlicedByteBuf.java,L113,1,0,32,0,1,1649,1,0
30,L144,PooledUnsafeDirectByteBuf.java,buffer/src/main/java/io/netty/buffer/PooledUnsafeDirectByteBuf.java,L113,33,0,323,7,27,1649,3,0
31,L145,PoolSubpage.java,buffer/src/main/java/io/netty/buffer/PoolSubpage.java,L113,21,0,177,0,6,1649,2,0
32,L146,PoolSubpageMetric.java,buffer/src/main/java/io/netty/buffer/PoolSubpageMetric.java,L113,1,0,7,0,1,1649,1,0
33,L147,PoolThreadCache.java,buffer/src/main/java/io/netty/buffer/PoolThreadCache.java,L113,34,0,349,3,11,1649,3,0
34,L148,ReadOnlyByteBuf.java,buffer/src/main/java/io/netty/buffer/ReadOnlyByteBuf.java,L113,3,0,240,5,32,105,6,0
35,L149,ReadOnlyByteBufferBuf.java,buffer/src/main/java/io/netty/buffer/ReadOnlyByteBufferBuf.java,L113,13,0,261,4,13,4057,3,0
36,L150,ReadOnlyUnsafeDirectByteBuf.java,buffer/src/main/java/io/netty/buffer/ReadOnlyUnsafeDirectByteBuf.java,L113,16,0,100,1,4,4057,2,0
37,L151,SimpleLeakAwareByteBuf.java,buffer/src/main/java/io/netty/buffer/SimpleLeakAwareByteBuf.java,L113,4,0,59,0,4,4057,1,0
38,L152,SlicedByteBuf.java,buffer/src/main/java/io/netty/buffer/SlicedByteBuf.java,L113,8,0,237,5,40,1649,5,0
39,L153,SwappedByteBuf.java,buffer/src/main/java/io/netty/buffer/SwappedByteBuf.java,L113,9,0,696,6,47,105,5,0
40,L154,Unpooled.java,buffer/src/main/java/io/netty/buffer/Unpooled.java,L113,94,0,495,2,38,8,6,0
41,L155,UnpooledByteBufAllocator.java,buffer/src/main/java/io/netty/buffer/UnpooledByteBufAllocator.java,L113,2,0,27,2,11,4057,2,0
42,L156,UnpooledDirectByteBuf.java,buffer/src/main/java/io/netty/buffer/UnpooledDirectByteBuf.java,L113,41,0,486,10,34,4057,3,0
43,L157,UnpooledHeapByteBuf.java,buffer/src/main/java/io/netty/buffer/UnpooledHeapByteBuf.java,L113,17,0,357,6,20,4057,2,0
44,L158,UnpooledUnsafeDirectByteBuf.java,buffer/src/main/java/io/netty/buffer/UnpooledUnsafeDirectByteBuf.java,L113,53,0,419,9,22,1649,2,0
45,L159,UnreleasableByteBuf.java,buffer/src/main/java/io/netty/buffer/UnreleasableByteBuf.java,L113,4,0,62,1,15,4057,2,0
46,L160,UnsafeDirectSwappedByteBuf.java,buffer/src/main/java/io/netty/buffer/UnsafeDirectSwappedByteBuf.java,L113,7,0,135,2,3,1649,1,0
47,L161,WrappedByteBuf.java,buffer/src/main/java/io/netty/buffer/WrappedByteBuf.java,L113,2,0,672,1,10,105,4,0
48,L167,AbstractByteBufTest.java,buffer/src/test/java/io/netty/buffer/AbstractByteBufTest.java,L166,155,0,2213,7,33,105,5,0
49,L168,AbstractCompositeByteBufTest.java,buffer/src/test/java/io/netty/buffer/AbstractCompositeByteBufTest.java,L166,11,0,716,8,35,1649,5,0
50,L169,AbstractPooledByteBufTest.java,buffer/src/test/java/io/netty/buffer/AbstractPooledByteBufTest.java,L166,3,0,41,0,1,1649,1,0
51,L170,BigEndianCompositeByteBufTest.java,buffer/src/test/java/io/netty/buffer/BigEndianCompositeByteBufTest.java,L166,1,0,12,1,2,1649,1,0
52,L171,BigEndianDirectByteBufTest.java,buffer/src/test/java/io/netty/buffer/BigEndianDirectByteBufTest.java,L166,1,0,20,1,2,1649,1,0
53,L172,BigEndianHeapByteBufTest.java,buffer/src/test/java/io/netty/buffer/BigEndianHeapByteBufTest.java,L166,1,0,24,0,2,4057,2,0
54,L173,BigEndianUnsafeDirectByteBufTest.java,buffer/src/test/java/io/netty/buffer/BigEndianUnsafeDirectByteBufTest.java,L166,1,0,14,1,1,1649,1,0
55,L174,ByteBufDerivationTest.java,buffer/src/test/java/io/netty/buffer/ByteBufDerivationTest.java,L166,11,0,168,0,2,4,2,0
56,L175,ByteBufStreamTest.java,buffer/src/test/java/io/netty/buffer/ByteBufStreamTest.java,L166,11,0,147,0,5,4057,3,0
57,L176,ByteBufUtilTest.java,buffer/src/test/java/io/netty/buffer/ByteBufUtilTest.java,L166,1,0,82,0,2,105,2,0
58,L177,ByteProcessorTest.java,buffer/src/test/java/io/netty/buffer/ByteProcessorTest.java,L166,1,0,42,0,1,105,1,0
59,L178,ConsolidationTest.java,buffer/src/test/java/io/netty/buffer/ConsolidationTest.java,L166,1,0,34,0,3,4,3,0
60,L179,DuplicateByteBufTest.java,buffer/src/test/java/io/netty/buffer/DuplicateByteBufTest.java,L166,1,0,29,1,4,4057,2,0
61,L180,EmptyByteBufTest.java,buffer/src/test/java/io/netty/buffer/EmptyByteBufTest.java,L166,3,0,48,0,2,4057,2,0
62,L181,FixedCompositeByteBufTest.java,buffer/src/test/java/io/netty/buffer/FixedCompositeByteBufTest.java,L166,2,0,193,0,2,4057,2,0
63,L182,LittleEndianCompositeByteBufTest.java,buffer/src/test/java/io/netty/buffer/LittleEndianCompositeByteBufTest.java,L166,1,0,6,0,1,1649,1,0
64,L183,LittleEndianDirectByteBufTest.java,buffer/src/test/java/io/netty/buffer/LittleEndianDirectByteBufTest.java,L166,1,0,20,1,2,1649,1,0
65,L184,LittleEndianHeapByteBufTest.java,buffer/src/test/java/io/netty/buffer/LittleEndianHeapByteBufTest.java,L166,1,0,16,0,1,1649,1,0
66,L185,LittleEndianUnsafeDirectByteBufTest.java,buffer/src/test/java/io/netty/buffer/LittleEndianUnsafeDirectByteBufTest.java,L166,1,0,14,1,1,1649,1,0
67,L186,PoolArenaTest.java,buffer/src/test/java/io/netty/buffer/PoolArenaTest.java,L166,2,0,15,0,1,2,1,0
68,L187,PooledBigEndianDirectByteBufTest.java,buffer/src/test/java/io/netty/buffer/PooledBigEndianDirectByteBufTest.java,L166,1,0,11,1,2,1649,2,0
69,L188,PooledBigEndianHeapByteBufTest.java,buffer/src/test/java/io/netty/buffer/PooledBigEndianHeapByteBufTest.java,L166,1,0,7,1,2,1649,2,0
70,L189,PooledLittleEndianDirectByteBufTest.java,buffer/src/test/java/io/netty/buffer/PooledLittleEndianDirectByteBufTest.java,L166,1,0,11,1,2,1649,2,0
71,L190,PooledLittleEndianHeapByteBufTest.java,buffer/src/test/java/io/netty/buffer/PooledLittleEndianHeapByteBufTest.java,L166,1,0,11,1,2,1649,2,0
72,L191,ReadOnlyByteBufferBufTest.java,buffer/src/test/java/io/netty/buffer/ReadOnlyByteBufferBufTest.java,L166,1,0,8,1,1,1649,1,0
73,L192,ReadOnlyByteBufTest.java,buffer/src/test/java/io/netty/buffer/ReadOnlyByteBufTest.java,L166,1,0,135,1,3,4057,3,0
74,L193,ReadOnlyDirectByteBufferBufTest.java,buffer/src/test/java/io/netty/buffer/ReadOnlyDirectByteBufferBufTest.java,L166,3,0,154,2,5,1649,2,0
75,L194,ReadOnlyUnsafeDirectByteBufferBufTest.java,buffer/src/test/java/io/netty/buffer/ReadOnlyUnsafeDirectByteBufferBufTest.java,L166,1,0,15,1,2,4,2,0
76,L195,SlicedByteBufTest.java,buffer/src/test/java/io/netty/buffer/SlicedByteBufTest.java,L166,1,0,79,4,7,1649,2,0
77,L196,UnpooledTest.java,buffer/src/test/java/io/netty/buffer/UnpooledTest.java,L166,22,0,469,1,13,4057,3,0
78,L197,UnreleaseableByteBufTest.java,buffer/src/test/java/io/netty/buffer/UnreleaseableByteBufTest.java,L166,1,0,20,0,1,1649,1,0
79,L8855,AsciiHeadersEncoder.java,codec/src/main/java/io/netty/handler/codec/AsciiHeadersEncoder.java,L8854,11,0,93,0,3,105,2,0
80,L8856,BinaryHeaders.java,codec/src/main/java/io/netty/handler/codec/BinaryHeaders.java,L8854,1,0,73,1,5,105,3,0
81,L8857,ByteToMessageCodec.java,codec/src/main/java/io/netty/handler/codec/ByteToMessageCodec.java,L8854,1,0,66,3,36,1649,3,0
82,L8858,ByteToMessageDecoder.java,codec/src/main/java/io/netty/handler/codec/ByteToMessageDecoder.java,L8854,34,0,224,15,76,1649,6,0
83,L8859,CodecException.java,codec/src/main/java/io/netty/handler/codec/CodecException.java,L8854,1,0,15,0,5,4057,2,0
84,L8860,CodecUtil.java,codec/src/main/java/io/netty/handler/codec/CodecUtil.java,L8854,2,0,10,0,14,1649,3,0
85,L8861,ConvertibleHeaders.java,codec/src/main/java/io/netty/handler/codec/ConvertibleHeaders.java,L8854,1,0,22,0,2,4057,2,0
86,L8862,CorruptedFrameException.java,codec/src/main/java/io/netty/handler/codec/CorruptedFrameException.java,L8854,1,0,15,0,7,4057,3,0
87,L8863,DecoderException.java,codec/src/main/java/io/netty/handler/codec/DecoderException.java,L8854,1,0,15,0,6,4057,3,0
88,L8864,DecoderResult.java,codec/src/main/java/io/netty/handler/codec/DecoderResult.java,L8854,7,0,53,1,7,27,3,0
89,L8865,DecoderResultProvider.java,codec/src/main/java/io/netty/handler/codec/DecoderResultProvider.java,L8854,1,0,5,0,1,4057,1,0
90,L8866,DefaultBinaryHeaders.java,codec/src/main/java/io/netty/handler/codec/DefaultBinaryHeaders.java,L8854,4,0,278,1,6,105,3,0
91,L8867,DefaultConvertibleHeaders.java,codec/src/main/java/io/netty/handler/codec/DefaultConvertibleHeaders.java,L8854,9,0,142,0,2,4057,2,0
92,L8868,DefaultHeaders.java,codec/src/main/java/io/netty/handler/codec/DefaultHeaders.java,L8854,155,0,1243,0,10,105,4,0
93,L8869,DefaultTextHeaders.java,codec/src/main/java/io/netty/handler/codec/DefaultTextHeaders.java,L8854,13,0,483,1,17,105,5,0
94,L8870,DelimiterBasedFrameDecoder.java,codec/src/main/java/io/netty/handler/codec/DelimiterBasedFrameDecoder.java,L8854,35,0,184,2,23,1649,3,0
95,L8871,Delimiters.java,codec/src/main/java/io/netty/handler/codec/Delimiters.java,L8854,1,0,17,0,6,72,2,0
96,L8872,EmptyBinaryHeaders.java,codec/src/main/java/io/netty/handler/codec/EmptyBinaryHeaders.java,L8854,1,0,176,1,4,105,2,0
97,L8873,EmptyConvertibleHeaders.java,codec/src/main/java/io/netty/handler/codec/EmptyConvertibleHeaders.java,L8854,1,0,46,0,1,105,1,0
98,L8874,EmptyHeaders.java,codec/src/main/java/io/netty/handler/codec/EmptyHeaders.java,L8854,3,0,431,0,4,105,2,0
99,L8875,EmptyTextHeaders.java,codec/src/main/java/io/netty/handler/codec/EmptyTextHeaders.java,L8854,1,0,183,0,6,105,2,0
100,L8876,EncoderException.java,codec/src/main/java/io/netty/handler/codec/EncoderException.java,L8854,1,0,15,0,6,4057,3,0
101,L8877,FixedLengthFrameDecoder.java,codec/src/main/java/io/netty/handler/codec/FixedLengthFrameDecoder.java,L8854,4,0,29,2,25,1649,3,0
102,L8878,Headers.java,codec/src/main/java/io/netty/handler/codec/Headers.java,L8854,1,0,139,0,5,105,2,0
103,L8879,LengthFieldBasedFrameDecoder.java,codec/src/main/java/io/netty/handler/codec/LengthFieldBasedFrameDecoder.java,L8854,27,0,194,4,26,1649,3,0
104,L8880,LengthFieldPrepender.java,codec/src/main/java/io/netty/handler/codec/LengthFieldPrepender.java,L8854,16,0,85,0,20,1,5,0
105,L8881,LineBasedFrameDecoder.java,codec/src/main/java/io/netty/handler/codec/LineBasedFrameDecoder.java,L8854,17,0,94,1,10,2,3,0
106,L8882,MessageAggregationException.java,codec/src/main/java/io/netty/handler/codec/MessageAggregationException.java,L8854,1,0,14,0,1,4057,1,0
107,L8883,MessageAggregator.java,codec/src/main/java/io/netty/handler/codec/MessageAggregator.java,L8854,32,0,217,2,6,4057,5,0
108,L8884,MessageToByteEncoder.java,codec/src/main/java/io/netty/handler/codec/MessageToByteEncoder.java,L8854,7,0,73,3,33,1649,3,0
109,L8885,MessageToMessageCodec.java,codec/src/main/java/io/netty/handler/codec/MessageToMessageCodec.java,L8854,1,0,60,3,45,4057,4,0
110,L8886,MessageToMessageDecoder.java,codec/src/main/java/io/netty/handler/codec/MessageToMessageDecoder.java,L8854,5,0,50,7,55,4057,3,0
111,L8887,MessageToMessageEncoder.java,codec/src/main/java/io/netty/handler/codec/MessageToMessageEncoder.java,L8854,10,0,74,8,53,1649,3,0
112,L8888,package-info.java,codec/src/main/java/io/netty/handler/codec/package-info.java,L8854,1,0,1,0,5,4057,3,0
113,L8889,PrematureChannelClosureException.java,codec/src/main/java/io/netty/handler/codec/PrematureChannelClosureException.java,L8854,1,0,15,0,5,72,3,0
114,L8890,ProtocolDetectionResult.java,codec/src/main/java/io/netty/handler/codec/ProtocolDetectionResult.java,L8854,1,0,34,0,1,1649,1,0
115,L8891,ProtocolDetectionState.java,codec/src/main/java/io/netty/handler/codec/ProtocolDetectionState.java,L8854,1,0,6,0,1,1649,1,0
116,L8892,ReplayingDecoder.java,codec/src/main/java/io/netty/handler/codec/ReplayingDecoder.java,L8854,20,0,118,13,70,1649,5,0
