,ID,Name,LongName,Parent,McCC,CLOC,LLOC,Number of previous fixes,Number of committers,Number of previous modifications,Number of developer commits,Number of bugs
0,L113,StorageSetup.java,src/test/java/com/thinkaurelius/titan/StorageSetup.java,L112,5,0,96,0,2,16,1077,0
1,L114,TestBed.java,src/test/java/com/thinkaurelius/titan/TestBed.java,L112,6,0,60,0,1,4,1077,0
2,L115,TitanBenchmark.java,src/test/java/com/thinkaurelius/titan/TitanBenchmark.java,L112,8,0,85,0,1,3,1077,0
3,L116,TitanTestBed.java,src/test/java/com/thinkaurelius/titan/TitanTestBed.java,L112,1,0,19,0,1,5,1077,0
4,L800,KeyColumn.java,src/test/java/com/thinkaurelius/titan/diskstorage/KeyColumn.java,L799,4,0,20,0,1,1,1077,0
5,L801,KeyColumnValueStoreTest.java,src/test/java/com/thinkaurelius/titan/diskstorage/KeyColumnValueStoreTest.java,L799,28,0,355,0,2,9,1077,0
6,L802,KeyColumnValueStoreUtil.java,src/test/java/com/thinkaurelius/titan/diskstorage/KeyColumnValueStoreUtil.java,L799,4,0,52,0,1,2,1077,0
7,L803,KeyValueStoreTest.java,src/test/java/com/thinkaurelius/titan/diskstorage/KeyValueStoreTest.java,L799,15,0,192,0,1,5,1077,0
8,L804,KeyValueStoreUtil.java,src/test/java/com/thinkaurelius/titan/diskstorage/KeyValueStoreUtil.java,L799,7,0,63,0,1,2,1077,0
9,L805,LockKeyColumnValueStoreTest.java,src/test/java/com/thinkaurelius/titan/diskstorage/LockKeyColumnValueStoreTest.java,L799,11,0,191,0,2,11,1077,0
10,L806,MultiWriteKeyColumnValueStoreTest.java,src/test/java/com/thinkaurelius/titan/diskstorage/MultiWriteKeyColumnValueStoreTest.java,L799,41,0,241,0,2,9,1077,0
11,L4621,TitanGraphConcurrentTest.java,src/test/java/com/thinkaurelius/titan/graphdb/TitanGraphConcurrentTest.java,L4620,19,0,201,0,1,3,1077,0
12,L4622,TitanGraphPerformanceTest.java,src/test/java/com/thinkaurelius/titan/graphdb/TitanGraphPerformanceTest.java,L4620,25,0,272,0,2,7,1077,0
13,L4623,TitanGraphTest.java,src/test/java/com/thinkaurelius/titan/graphdb/TitanGraphTest.java,L4620,44,0,606,5,3,28,1077,0
14,L4624,TitanGraphTestCommon.java,src/test/java/com/thinkaurelius/titan/graphdb/TitanGraphTestCommon.java,L4620,8,0,99,0,2,6,1077,0
15,L11904,ExternalCassandraBlueprintsTest.java,src/test/java/com/thinkaurelius/titan/blueprints/ExternalCassandraBlueprintsTest.java,L11903,1,0,30,0,1,5,1077,0
